district,disaster_type,month,district_monthly_count
East Khasi Hills,Earthquake,5,1
East Khasi Hills,Earthquake,8,2
East Midnapore/South 24 Parganas,Cyclone,5,7
East Midnapore/South 24 Parganas,Cyclone,6,21
East Midnapore/South 24 Parganas,Cyclone,7,30
East Midnapore/South 24 Parganas,Cyclone,8,25
East Midnapore/South 24 Parganas,Cyclone,9,21
East Midnapore/South 24 Parganas,Cyclone,10,7
East Midnapore/South 24 Parganas,Cyclone,11,2
East Midnapore/South 24 Parganas,Cyclone,12,1
"East Siang, Arunachal Pradesh",Landslide,2,1
East Sikkim,Earthquake,2,2
East Sikkim,Earthquake,3,1
East Sikkim,Earthquake,5,1
East Sikkim,Earthquake,6,2
East Sikkim,Earthquake,9,2
East Sikkim,Earthquake,10,1
East Sikkim,Earthquake,11,1
East Sikkim,Landslide,7,2
East Singhbhum,Flood,8,1
"Eastern Edge Of Leh City, Ladakh, Jammu And Kashmir",Landslide,6,1
Edakumeri Near Subrahmanya,Landslide,10,1
"Eknath(?) Chawl, Sainic Nagar(?), Below Mumbra Hill, Mumbra, Near Mumbai, Maharashtra",Landslide,8,1
"Ekvira Devi Temple, Karla Near Khandala",Landslide,6,1
"Endulin Nallah, Mayodia, 17-Camp, 83-Camp",Landslide,8,1
"Eraniel Station,  Kanyakumari District, India",Landslide,5,1
Erasama,Cyclone,10,1
Ernakulam,Flood,1,1
Ernakulam,Flood,3,2
Ernakulam,Flood,6,1
Ernakulam,Flood,10,1
Ernakulam,Flood,11,1
"Ernakulam, Kerala (Monsoon)",Landslide,8,1
Erode,Flood,11,1
Etah,Flood,11,1
Faizabad,Flood,7,1
Farangipete,Landslide,7,1
Farrukhabad,Flood,11,1
Fatehgarh Ch?Ri?N,Earthquake,2,1
"Fazl Ali College, Mokokchung, Nagaland",Landslide,6,1
Ferozeguda,Landslide,10,1
"Finchaytaar, Lodhoma, Darjeeling, India",Landslide,7,1
Firozpur,Flood,1,1
"First Hairpin Bend, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Landslide,6,1
Frasthar,Landslide,2,1
Gadag,Flood,2,1
Gadag,Flood,4,1
Gadag,Flood,6,1
Gagnani,Landslide,8,1
Gagret,Earthquake,3,1
Gagret,Earthquake,11,1
"Gaiparnath Mahadev Temple, Foothills Of Chambal Ravines",Landslide,10,1
Gajapati,Flood,5,1
Gamraula Near Bilaspur,Landslide,11,1
Ganderbal,Flood,2,1
Ganderbal,Flood,9,1
Gandhinagar,Flood,1,1
"Gandoh, Doda District, Jammu",Landslide,4,1
"Ganga Vihar Colony In Bhatwadi Area, Uttarkashi, Uttarakhand",Landslide,7,1
Ganganagar,Flood,5,1
"Gangortri-Rishikesh Highway, At Narendranagar In Tehri District Of Uttarakhand",Landslide,6,1
"Gangotree National Highway Near Bhatvaree, Uttarkashi District",Landslide,8,1
Gangotri,Landslide,9,1
Gangotri Highway,Landslide,1,1
"Gangotri Highway Near Helgugad, Uttarkashi, Uttarakhand, India",Landslide,7,1
"Gangotri-Rishikesh Hwy, Uttarakhand (Mid-Point Of Road -Exact Location Unknown)",Landslide,8,1
Gangtok,Landslide,7,1
Gangtok,Landslide,9,1
Ganj?M,Earthquake,12,1
"Gaoilung(Gadailong) Village(?), Ward 4(?), Tamenglong, Manipur",Landslide,5,1
Garchuk,Landslide,9,1
Garhchiroli,Flood,8,2
Garhchiroli,Flood,12,1
Garhwa,Flood,3,1
"Garhwal, Uttarakhand",Landslide,7,1
Gariadhar,Earthquake,7,1
"Garo Hills, Tura",Landslide,8,1
"Gauchar, Chamoli District, Uttarakhand",Landslide,7,1
"Gaunsawaddo, Mapusa, Goa, India",Landslide,12,1
"Gaurikund, Road To Kedarnath, Garwhal Division, Uttarakhand",Landslide,8,1
Gaurikund-Kedarnath Pedestrian Trek,Landslide,11,1
Gaya,Flood,5,2
Gaya,Flood,12,1
"Gayabari,  West Bengal",Landslide,7,1
Gayatri Nagar,Landslide,2,1
"Geetkolbong, Kalimpong Sub-Division, Darjeeling, West Bengal",Landslide,8,1
Geyzing-Jorethang Road And Naya Bazar-Legship Road,Landslide,9,1
"Ghaggar, Morni, Panchkula",Landslide,9,1
"Gharao Village, Near Holi Township",Landslide,12,1
"Ghat Road Leading To Sri Kanakadurga(Kanaka Durga) Temple, Indrakeeladri Hill, Vijayawada City, Andhra Pradesh",Landslide,8,1
"Ghat Road Of The Kanaka Durga Temple, Vijayawada District",Landslide,11,1
"Ghayabari-Tindharia On National Highway 55, Near Darjeeling Hills",Landslide,8,1
Ghazipur,Flood,7,2
"Gilbert Hill, Andheri West, Mumbai",Landslide,12,1
Go?Lp?Ra,Earthquake,2,1
Go?Lp?Ra,Earthquake,3,1
Go?Lp?Ra,Earthquake,4,1
Go?Lp?Ra,Earthquake,6,1
Goa Coast,Cyclone,6,1
Goa Coast,Cyclone,10,1
Goa Coast,Cyclone,11,1
"Goa-Karnataka Link, Near Dudhsagar Waterfall",Landslide,9,1
Goalpara,Flood,1,2
Goalpara,Flood,7,3
Goalpara,Flood,9,1
Gobindpur,Earthquake,12,1
"Goddess Nijabankeswari Temple, Digapahandi, Ganjam District, Odisha, India",Landslide,6,1
Goh?Na,Earthquake,5,1
Goh?Na,Earthquake,11,1
Gohpur,Earthquake,5,1
Golaghat,Flood,1,2
Golaghat,Flood,3,1
Golaghat,Flood,7,3
Gopalganj,Flood,5,1
Gopalganj,Flood,7,1
Gopalpur,Cyclone,10,3
Gopalpur,Cyclone,11,2
Gorakhpur,Flood,7,3
"Gosang Village Under Jengging Circle, Arunachal Pradesh",Landslide,2,1
Goshaingaon,Earthquake,10,1
"Gourishankar Tea Estate Premises, Darjeeling, West Bengal",Landslide,8,1
"Government Middle School (Gms) Kiphire Station Â€Œbâ€, Kiphire, Nagaland, India",Landslide,7,1
"Govindghat, On The Rishikesh-Badrinath Highway",Landslide,8,1
Gudalur,Landslide,7,1
"Gudalur Town, Nilgiris, Tamil Nadu",Landslide,6,1
"Gudder Village(?), Kulgam District, Jammu And Kashmir",Landslide,4,1
Gujarat,Earthquake,4,1
Gujarat Coast,Cyclone,4,1
Gujarat Coast,Cyclone,5,4
Gujarat Coast,Cyclone,6,21
Gujarat Coast,Cyclone,7,5
Gujarat Coast,Cyclone,8,1
Gujarat Coast,Cyclone,9,2
Gujarat Coast,Cyclone,10,7
Gujarat Coast,Cyclone,11,4
Gulbarga,Flood,1,1
Gulbarga,Flood,2,1
Gulbarga,Flood,8,2
Gumma On Pathankot-Mandi National Highway,Landslide,7,1
Gunadala Hill Of Vijayawada,Landslide,2,1
"Gunji, Uttarakhand",Landslide,4,1
Guntur,Flood,1,1
Guntur,Flood,5,1
Guntur,Flood,8,1
Guntur,Flood,10,1
Gurdaspur,Flood,4,1
"Gurez, Kashmir",Landslide,3,1
Guwahati,Flood,7,2
Guwahati,Landslide,7,1
Guwahati,Landslide,9,1
"Guwahati, Assam",Landslide,2,1
Gwalior,Flood,5,1
Gyalshing,Earthquake,2,1
Gyalshing,Earthquake,4,1
Gyalshing,Earthquake,5,2
Gyalshing,Earthquake,6,1
Gyalshing,Earthquake,8,1
Gyalshing,Earthquake,9,1
Gyalshing,Earthquake,12,1
H?Jo,Earthquake,9,1
H?Rij,Earthquake,9,1
H?Sim?Ra,Earthquake,7,1
Haari Village Of Poonch District,Landslide,3,1
"Haflong, Assam",Landslide,9,1
Hail?K?Ndi,Earthquake,10,1
Hail?K?Ndi,Earthquake,11,1
Hajibal,Landslide,3,1
Halvad,Earthquake,1,1
Hamirpur,Flood,1,1
Hamirpur,Flood,5,1
Hamirpur,Flood,8,1
Hamirpur,Flood,10,2
Hamirpur,Flood,11,1
Hanjishat Village In Handwara Area Of Kupwara District,Landslide,4,1
Hanogi,Landslide,7,1
"Hanogi On The Mandi-Kullu National Highway (Nh-21), Himachal Pradesh, India",Landslide,7,1
Hanumangarh,Flood,3,1
Haridwar,Flood,6,1
Haridwar In Uttarakhand Province,Landslide,8,1
"Harne(?) Village, Near Dapoli, Ratnagiri District, Maharashtra",Landslide,6,1
"Harsil, Uttarakhand",Landslide,8,1
Hassan,Flood,6,1
Hassan,Flood,7,1
"Hathi Matha, Between Katra And Vaishno Devi Cave Shrine In Trikuta Hills, Reasi District",Landslide,2,1
"Hatisur(?), Sevok(Sevoke), Kalimpong Sub-Division, Nh 31A Between Siliguri And Gangtok, Sikkim",Landslide,8,1
Hatsingimari,Landslide,9,1
"Hattisurey In Kalimpong, On National Highway 31A",Landslide,8,1
Haveri,Flood,4,1
Hawai,Landslide,8,1
Hayuliang,Earthquake,2,2
Hayuliang,Earthquake,9,2
Hayuliang,Earthquake,10,1
Hayuliang,Earthquake,11,2
"Hayuliang, Anjaw District,Arunachal Pradesh, India",Landslide,1,1
Hazaribagh,Flood,3,1
Hazaribagh,Flood,9,1
"Head Water Works, Kummaripalem, Vijayawada",Landslide,4,1
"Hee-Khola, Sikkim",Landslide,8,1
Heibok Hills,Landslide,7,1
"Helipong-Chessore Road, Nagaland",Landslide,7,1
"Highway 22, Near Borag Bypass, Near Solan, Himachal Pradesh, India",Landslide,2,1
"Highway 53 At Tupul, Tamenglong District",Landslide,7,1
"Highway To Rudraprayag District, Uttarakhand",Landslide,6,1
"Highway To Uttarkashi District, Uttarakhand",Landslide,6,1
Highways Leading To Badrinath And Gangotri,Landslide,11,1
"Hill(?) In Valmik Nagar, Kurla (Valmikinagar), Mumbai",Landslide,6,1
Himachal Pradesh School Education Board,Landslide,11,1
"Himachal Pradesh, All Over",Landslide,12,1
"Himachal Pradesh, Shimla District, Ghanvi Village",Landslide,8,1
Hindon River In Ghaziabad,Landslide,5,1
Hindustan-Tibet National Highway Near Matiana Village,Landslide,3,1
Hingdam Village In South Sikkim,Landslide,9,1
Hingoli,Flood,7,1
"Hoj-Potin Highway, Arunachal Pradesh, India",Landslide,7,1
Hoj?I,Earthquake,2,1
Hoj?I,Earthquake,4,2
Hoj?I,Earthquake,9,1
Hoj?I,Earthquake,12,1
"Holenjang, Chandel District",Landslide,1,1
"Holy Cave Shrine, Mata Vaishno Devi, Trikuta Hills, Reasi District, Near Panchi Morh In Sanjichat Area En Route Mata Vaishno Devi",Landslide,11,1
Howrah,Flood,7,2
"Hual(Hu) Village(?), Lunglei-Lawngtlai Rd, Mizoram",Landslide,9,1
"Hunthar Veng, Mizoram",Landslide,9,1
"Hwy 123, Badnera, Maharashtra,",Landslide,6,1
Hyderabad,Flood,1,1
Hyderabad,Flood,8,1
Idukki,Flood,3,1
Idukki,Flood,6,1
Idukki,Flood,7,1
Idukki,Flood,10,2
Idukki,Flood,11,1
Idukki,Landslide,8,4
"Idukki Taluk, Kerala",Landslide,2,1
"Idukki, Kerala",Landslide,4,1
"Idukki-Kattappana Rd, Keralaâ (Mid-Point Of Rd)",Landslide,8,1
Iit Campus In Mandi,Landslide,8,1
"Ikou-Gangpijang Road, Near: Ikou, Saikul, And Gangpijang; Imphal India",Landslide,6,1
Imph?L,Earthquake,1,1
Imph?L,Earthquake,4,1
Imph?L,Earthquake,5,1
Imph?L,Earthquake,7,1
Imph?L,Earthquake,8,1
Imphal / Senapati,Earthquake,1,1
Imphal / Senapati,Earthquake,3,1
Imphal / Senapati,Earthquake,4,1
Imphal / Senapati,Earthquake,6,2
Imphal / Senapati,Earthquake,10,1
Imphal / Senapati,Earthquake,12,1
Imphal West,Landslide,7,1
"Imphal-Dimapur Road  In Tadubi, Senapati District, Manipur, India",Landslide,7,1
"Imphal-Jiribam Section Of Nh-37 , Manipur",Landslide,10,1
Imphal-Ukhrul Road,Landslide,1,1
"Imphal-Ukhrul Sector Of National Highway 102, Manipur, India",Landslide,7,1
"India Gate(?), Srinagar-Leh Highway, Kashmir",Landslide,4,1
"Indira Bypass, Amdo Golai",Landslide,6,1
"Indrakeeladri Ghat Rd, Vijayawada, Andhra Pradesh",Landslide,9,1
Indri,Earthquake,11,1
"Irang(?) And Barak(?) And Makru(?) On Highway 53 Between Imphal And Jiribam, Manipur",Landslide,7,1
"Ishok Chingphu(?), Bishnupur, Assam",Landslide,9,1
Itanagar,Landslide,5,1
Itanagar,Landslide,7,1
"Itanagar (One Near Pachali Power House, One Near Heema Hospital, And One Nearromik Colony At P Sector)",Landslide,7,1
"Itanagar, Arunachal Pradesh",Landslide,9,1
"Itanagar-Naharlagun, Arunachal Pradesh",Landslide,6,1
Itanagar/Naharlagur/Nirjuli,Landslide,7,1
Jagatsinghpur,Cyclone,10,1
Jagatsinghpur,Flood,7,1
"Jahjon Ward(?), Mon Town, Nagaland",Landslide,7,1
Jaipur,Flood,11,1
Jaisalmer,Earthquake,4,1
Jaisalmer,Earthquake,11,1
Jaisalmer,Flood,5,1
Jaisinghnagar,Earthquake,10,1
Jajapur,Flood,3,1
Jajpur,Flood,7,1
Jalandhar,Flood,1,1
Jalgaon,Flood,1,1
Jalna,Flood,7,1
Jalpaiguri,Flood,7,3
Jammu,Flood,4,1
Jammu And Kashmir,Landslide,10,1
Jammu And Kashmir Between Adhkuwari And Bhawan At Devi Dwar,Landslide,8,1
"Jammu And Srinagar Natl. Hwy., Panthal, Ramban",Landslide,4,1
Jammu Division,Earthquake,1,2
Jammu Division,Earthquake,2,2
Jammu Division,Earthquake,3,3
Jammu Division,Earthquake,4,2
Jammu Division,Earthquake,5,8
Jammu Division,Earthquake,6,4
Jammu Division,Earthquake,7,5
Jammu Division,Earthquake,8,1
Jammu Division,Earthquake,9,7
Jammu Division,Earthquake,10,7
Jammu Division,Earthquake,11,3
Jammu Division,Earthquake,12,1
Jammu Srinagar Roadways - Between Banihal And Patnitop,Landslide,2,1
Jammu-Pathankot Route Near Samba,Landslide,2,1
Jammu-Poonch Highway Near Kalidhar,Landslide,8,1
Jammu-Srinagar Highway,Landslide,12,1
Jammu-Srinagar Highway Between Ramban And Srinagar,Landslide,2,1
"Jammu-Srinagar Highway, Pathal Area, Ramban District, Jammu And Kashmir",Landslide,7,1
"Jammu-Srinagar Hwy, Digdol, Ramban, Jammu And Kashmir",Landslide,3,1
"Jammu-Srinagar Hwy, Magarkote Area, Ramban District, Jammu And Kashmir",Landslide,9,1
"Jammu-Srinagar Hwy, Panthal, Ramban, Jammu And Kashmir",Landslide,3,1
"Jammu-Srinagar Hwy, Samarouli In Ramban District",Landslide,8,1
"Jammu-Srinagar Hwy, Sheeri(?), Ramban, Jammu And Kashmir",Landslide,3,1
Jammu-Srinagar National Highway,Landslide,3,2
Jammu-Srinagar National Highway At Kheri In Udhampur District,Landslide,8,1
"Jammu-Srinagar National Highway At Samroli, India",Landslide,6,1
Jammu-Srinagar National Highway In Jammu City,Landslide,11,1
"Jammu-Srinagar National Highway, Digdol Area, Jammu And Kashmir",Landslide,2,1
"Jammu-Sringar Hwy, Between Sri And Ramban, Kerala",Landslide,8,1
Jamnagar,Flood,1,1
Jamnagar/Dwarka,Cyclone,8,1
"Janki Chatti, Uttarakhand, India",Landslide,7,1
"Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Landslide,6,1
"Jatog And Kaithlighat Railway Stations, Kaithleeghat, Himachal Pradesh",Landslide,9,1
"Jawahar Tunnel-Patnitop Stretch In Ramban District, Jammu-Srinagar Highway",Landslide,4,1
Jawaharlal Nehru Marg,Landslide,5,1
"Jeevandaya Lane(?), Vijay Nagar, Ghatopar(Ghatkopar)",Landslide,6,1
"Jeori-Ganvi(?) Rd, Kinnuar(Kinnaur) District, Himachal Pradesh",Landslide,8,1
"Jetty, Desterovaddo, Bharatline-Tarivaddo And Harbour, Vasco, Goa",Landslide,6,1
Jharsuguda,Flood,3,1
Jheol Village In Dharamsala Subdivision,Landslide,7,1
"Jhulaghat Area Of Pithoragarh District, Uttarakhand",Landslide,5,1
Jivdani Temple,Landslide,9,1
Jodhpur,Flood,5,1
Jodhpur,Flood,8,1
Jodhpur,Flood,9,1
"Jog Falls, Karnataka",Landslide,12,1
"Jogindernagar, Himachal Pradesh",Landslide,6,1
Jorabat-Umiam Route,Landslide,5,1
Jorhat,Flood,1,2
Jorhat,Flood,3,1
Jorhat,Flood,7,5
Jorhat,Flood,9,1
Josh?Math,Earthquake,11,1
Joshimath,Landslide,7,1
Joshimath-Mallari Road,Landslide,3,1
Junagadh,Flood,1,1
"Jwagdhar Village, Sangrah, Sirmaur District, Himachal Pradesh, India",Landslide,7,1
K?Ndla,Earthquake,4,1
K?Ndla,Earthquake,8,1
Kachchh,Flood,1,1
"Kadavoor, Erakulam, Kerala",Landslide,8,1
"Kadavoor, Kerala",Landslide,6,1
Kailashpur Hill,Landslide,2,1
Kaimur,Flood,5,1
"Kaiphundai(?)-Tousem(In Assam) Road, Tamenglong District, Manipur",Landslide,5,1
Kakching,Earthquake,2,1
Kakching,Earthquake,3,2
Kakching,Earthquake,5,2
Kakching,Earthquake,7,1
Kakching,Earthquake,9,3
Kakching,Earthquake,10,1
Kakching,Earthquake,12,1
Kakinada,Cyclone,11,2
"Kakolat Falls, Rajauli Sub-Division, India",Landslide,5,1
"Kala Nalah(?), Keylong-Udaipur Rd, Himachal Pradesh",Landslide,7,1
Kala Zar In Reasi District,Landslide,3,1
"Kalahandi District Of Orissa, Depur Village",Landslide,5,1
Kalijhora,Landslide,10,1
Kalimpong,Landslide,6,1
Kalimpong,Landslide,7,3
"Kalimpong, Darjeeling, West Bengal",Landslide,8,1
"Kalimpong, West Bengal",Landslide,7,1
"Kalimpong, West Bengal",Landslide,9,1
"Kalka-Shimla Rail Line, 1 Km From Dharampur Railway Station At Tunnel No. 27",Landslide,12,1
Kalka-Shimla Toy Train Track Near Kaithlighat,Landslide,12,1
"Kallar, Tamil Nadu",Landslide,11,1
"Kallarakodi, Ullal, India",Landslide,4,1
Kalsan Village Near Bagial Dhara,Landslide,5,1
Kamakhya Temple,Landslide,9,1
Kamalpur,Earthquake,12,2
"Kamraj Nagar Slum At Sion-Koliwada, Antop Hill, Mumbai",Landslide,8,1
Kamrup,Flood,1,2
Kamrup,Flood,7,6
Kamrup,Flood,9,1
Kamrup,Landslide,7,2
Kamrup / Guwahati,Earthquake,1,2
Kamrup / Guwahati,Earthquake,2,1
Kamrup / Guwahati,Earthquake,3,5
Kamrup / Guwahati,Earthquake,4,5
Kamrup / Guwahati,Earthquake,5,7
Kamrup / Guwahati,Earthquake,6,3
Kamrup / Guwahati,Earthquake,7,4
Kamrup / Guwahati,Earthquake,8,5
Kamrup / Guwahati,Earthquake,9,4
Kamrup / Guwahati,Earthquake,10,6
Kamrup / Guwahati,Earthquake,11,3
Kamrup / Guwahati,Earthquake,12,3
"Kamrup District, Assam, India",Landslide,7,1
Kamrup Metropolitan,Flood,1,2
Kamrup Metropolitan,Flood,3,1
Kamrup Metropolitan,Flood,9,1
"Kamrup, And Sonitpur, Assam",Landslide,10,1
Kanamala In Erumeli Panchayat,Landslide,6,1
Kandhamal,Flood,5,1
"Kandi Canal Project, Gandoh Area, Doda District, Kashmir",Landslide,6,1
Kandla,Cyclone,6,1
Kangra,Flood,1,1
Kangra,Flood,3,1
Kangra,Flood,5,1
Kangra,Flood,7,2
Kangra,Flood,8,1
Kangra,Flood,10,2
Kangra,Landslide,7,3
Kangra,Landslide,12,1
"Kangra,  Himachal Pradesh",Landslide,8,1
Kangtsung Village,Landslide,11,1
"Kanipathri(?), Srinagar-Leh Highway, Kashmir",Landslide,4,1
"Kankumbi, Karnataka",Landslide,10,1
"Kanlog, Shimla, Himachal Pradesh",Landslide,7,1
Kanniyakumari,Flood,6,1
Kanniyakumari,Flood,11,1
Kannur,Flood,1,1
Kannur,Flood,3,1
Kannur,Flood,8,1
Kannur,Flood,10,2
Kannur,Flood,12,2
Kanpur,Flood,5,1
Kanpur,Flood,7,1
Kar?D,Earthquake,8,1
Kar?Mganj,Earthquake,2,3
Kar?Mganj,Earthquake,3,1
Kar?Mganj,Earthquake,5,2
Kar?Mganj,Earthquake,7,1
Karaikal,Cyclone,1,1
Karaikal,Cyclone,12,1
"Karakkamandapam, Kerala",Landslide,11,1
Karbi Anglong,Flood,1,1
"Karcham, Himachal Pradesh, India",Landslide,7,1
"Karcham-Sangla Rd, Himachal Pradesh",Landslide,9,1
Karimnagar,Flood,1,1
Karimnagar,Flood,2,2
Karimnagar,Flood,6,2
Karimnagar,Landslide,6,1
"Karmkund(?), On Rishikesh-Gangotri Hwy",Landslide,4,1
"Karnaprayag, Uttarakhand",Landslide,7,1
Karnataka Coast,Cyclone,5,1
Karnataka Coast,Cyclone,6,2
Karnataka Coast,Cyclone,10,1
Karnataka Coast,Cyclone,12,1
"Karnataka Coast, Mangalore",Landslide,6,1
Karsingsa Block Point,Landslide,1,1
"Karsog-Rampur Rd, Himachal Pradesh",Landslide,9,1
Kasaragod,Flood,1,1
Kasaragod,Flood,10,3
Kasaragod,Flood,12,1
"Kasauli-Parwanoo Rd, Himachal Pradesh",Landslide,9,1
Kasba,Earthquake,2,1
"Kashedi Ghat,  Raigad  Maharashtra (Used Raigad Fort For Lat Lon)",Landslide,4,1
"Kashimir Valley, Jammu And Kashmir",Landslide,11,1
Kashmaari Village In Solan District,Landslide,10,1
Kashmir Valley,Earthquake,1,4
Kashmir Valley,Earthquake,2,4
Kashmir Valley,Earthquake,3,3
Kashmir Valley,Earthquake,4,4
Kashmir Valley,Earthquake,5,3
Kashmir Valley,Earthquake,6,3
Kashmir Valley,Earthquake,7,1
Kashmir Valley,Earthquake,8,3
Kashmir Valley,Earthquake,9,2
Kashmir Valley,Earthquake,10,7
Kashmir Valley,Earthquake,11,2
Kashmir Valley,Earthquake,12,2
Kashmir-Xinjiang Border,Earthquake,9,1
"Katare Village, 80 Km From Kalimpong",Landslide,8,1
Kathua,Flood,5,1
Kathua,Flood,6,1
Kathua,Landslide,7,1
Kathua-Billawar Road,Landslide,8,1
Katihar,Flood,7,1
Kavali,Cyclone,11,3
"Kaza, Himachal Pradesh",Landslide,8,1
"Kaza-Kinnaur Highway Near Nako, Spiti Valley, Himachal Pradesh",Landslide,10,1
"Kazigadi Near Nashik, Maharashtra",Landslide,11,1
Kaziranga,Flood,7,1
Kedarnath,Flood,6,1
Kedarnath,Landslide,9,1
"Kedarnath (Hindu Shrine), Near Kedarnath Dome (Mountain), Uttarakhand",Landslide,6,1
Kedarnath Yatra,Landslide,7,2
Kempty Falls,Landslide,5,1
Kempty Road Near Kandikhal,Landslide,7,1
Kempty Road Near Kempty Falls,Landslide,7,1
Kempty Road Near Sia Village,Landslide,7,1
Kendrapara,Cyclone,10,1
Kendrapara,Flood,7,2
Kendujhar,Flood,1,1
Kendujhar,Flood,2,1
Kerala,Landslide,4,1
Kerala Coast,Cyclone,5,1
Kerala Coast,Cyclone,10,1
Kerala Coast,Cyclone,11,2
Keran,Landslide,8,1
"Kerseong, Sub-Division, Siliguri District, West Bengal",Landslide,8,1
"Kerseong, West Bengal",Landslide,7,1
Kh?Npur,Earthquake,3,1
"Khadpora(?), Kandi Area(?) On The Outskirts Of The Baramulla Town, Jammu And Kashmir",Landslide,4,1
Khagaria,Flood,1,1
Khagaria,Flood,7,1
"Khahare Khola, Kurseong",Landslide,1,1
Khammam,Flood,2,2
Khammam,Flood,6,2
Khammam,Flood,8,2
Khanater Village Near Poonch,Landslide,8,1
Khandala Tunnel,Landslide,1,1
"Khandala, On Mumbai-Pune Expressway",Landslide,6,1
Khanpora,Landslide,7,1
Khansahib,Landslide,3,1
"Khardung La Pass, Leh District",Landslide,8,1
Kharganjuwa Hill Near Barki Lami Pahar 30Km From Daltonganj,Landslide,7,1
"Kharghuli Hills, Assam",Landslide,6,1
"Kharghuli, Guwahati, Assam",Landslide,4,1
Khargone,Landslide,7,1
Khawhai,Earthquake,1,1
Khawhai,Earthquake,6,1
Khawhai,Earthquake,9,1
Khawhai,Earthquake,10,1
Khawhai,Earthquake,11,2
Khekra,Earthquake,9,1
Khem Karan,Earthquake,1,1
Kheri,Landslide,3,1
Kheri Near Udhampur,Landslide,7,1
Kheri S?Mpla,Earthquake,6,1
"Khindipada Area, Near The Bmc Pipeline At Bhandup-West",Landslide,8,1
"Khongsang, Tamenglong, Manipur,",Landslide,12,1
"Khonsa, Arunachal Pradesh",Landslide,6,1
"Khooni Nullah On The Srinagar-Jammu Highway, Ramban District",Landslide,2,1
Khordha,Flood,3,1
Khordha,Flood,7,1
Khoupum,Landslide,11,1
Khunti,Flood,9,1
Khwas Tehsil Of Rajouri District,Landslide,9,1
"Kimin-Ziro Road In Papum Pare District, Road Between Doimukh And Sagalee, Doimukh-Hoj Road; Arunachal Pradesh",Landslide,8,1
Kinnaur,Flood,10,1
Kinnaur,Landslide,7,3
Kinnaur / Lahaul Spiti,Earthquake,1,1
Kinnaur / Lahaul Spiti,Earthquake,2,1
Kinnaur / Lahaul Spiti,Earthquake,3,2
Kinnaur / Lahaul Spiti,Earthquake,4,1
Kinnaur / Lahaul Spiti,Earthquake,6,2
Kinnaur / Lahaul Spiti,Earthquake,7,2
Kinnaur / Lahaul Spiti,Earthquake,8,1
Kinnaur / Lahaul Spiti,Earthquake,10,1
Kinnaur / Lahaul Spiti,Earthquake,11,1
Kinnaur / Lahaul Spiti,Earthquake,12,1
"Kinnaur District, Himachal Pradesh",Landslide,6,1
"Kiphire,  Nagaland",Landslide,6,1
Kiphire-Seyochung Road Near Yangzitong Village,Landslide,8,1
"Kiphire-Tuensang Rd, Nagaland",Landslide,8,1
Kiri Buru,Earthquake,6,1
Kishanganj,Earthquake,3,1
Kishtwar,Landslide,7,1
"Kishtwar-Chatroo Road, Kishtwar Region Of Jammu And Kashmir",Landslide,1,1
"Kisima, Nagaland",Landslide,8,1
"Klibi Patwar, Theog",Landslide,7,1
Koch Bih?R,Earthquake,7,1
Kodagu,Flood,7,1
Kodagu,Flood,11,1
Kodaikanal,Landslide,8,1
Kodaikanal-Palani Ghat Road,Landslide,9,1
"Kodaikanal-Thandigudi(Thandikudi)-Batlagundu Hill Road, Tamil Nadu Province",Landslide,11,1
Koh?Ma,Earthquake,2,1
Koh?Ma,Earthquake,4,2
Koh?Ma,Earthquake,11,1
Kohima,Landslide,7,2
Kohima / Dimapur,Earthquake,3,1
Kohima / Dimapur,Earthquake,6,1
"Kohima, Nagaland",Landslide,8,1
"Koide Government High School, Senapati, Manipur",Landslide,8,1
Kokrajhar,Earthquake,5,1
Kokrajhar,Flood,1,2
Kolar,Flood,4,1
"Kolasib, Saiha, Mizoram,",Landslide,7,1
Kolhapur,Flood,7,1
Kolhapur,Flood,11,1
Kolkata,Cyclone,11,1
Kolkata,Flood,1,1
Kollam,Flood,6,1
Kollam,Flood,8,1
Kollam,Flood,10,2
Kollam,Flood,11,1
"Koloriang, Kuring Kumey District, Arunachal Pradesh",Landslide,2,1
Kon?Rka,Earthquake,7,1
"Konkan Railway Near Adavli Station, Maharashtra",Landslide,7,1
Konkan Railway Route In Southern Village Canacona In Goa,Landslide,2,1
"Konkan Railway Tracks Close To Adavali Station, Ratnagiri, Maharashtra",Landslide,6,1
"Konkan Railway, Between Sindhudurg And Kudal",Landslide,7,1
Koppal,Flood,2,1
Koraput,Flood,3,1
Korwad Village Of Dharampur Taluka In Valsad District,Landslide,8,1
"Kot Village Of Tehri District,Â Uttarakhand",Landslide,8,1
Kota,Flood,8,3
Kota,Flood,9,1
"Koti Bridge(?), Chamba-Langera-Bhadarwah Border Road Connecting Doda District Of Jammu And Kashmir With Himachal Pradesh",Landslide,8,1
Koti Railway Station,Landslide,8,1
Kottayam,Flood,1,1
Kottayam,Flood,3,1
Kottayam,Flood,7,2
Kottayam,Landslide,7,1
Kottayam,Landslide,8,1
"Kottayam-Kattapana Road, At Ellapara(Elappara) Village, Idukki, Kerala",Landslide,1,1
Kozhikode,Flood,1,1
