district,disaster_type,month,district_monthly_count
Arunachal Pradesh/Itanagar,Landslide,8,1
Assam,Earthquake,6,1
Assam - Nagaland,Earthquake,11,1
"Assam-Agartala National Highway, Sonarpur In Jayantiya Hills Of Meghalaya",Landslide,11,1
Assam-Nagaland-Manipur,Earthquake,2,1
At The Talgaon Cutting Between Sindhudurg And Kudal Section Of The Konkan Railway,Landslide,7,1
"Atharamura Hills, Highway 44, Tripura",Landslide,3,1
Atlanta Point,Landslide,6,1
Aurangabad,Flood,7,1
Ausa,Earthquake,9,1
Ausa,Earthquake,11,1
Ausa,Earthquake,12,1
"Avalanche, Nilgiris, Tamil Nadu",Landslide,7,1
"Ayanur Near Neriya, Karnataka",Landslide,12,1
Azad Jammu And Kashmir,Landslide,11,1
B?Bai,Earthquake,3,1
B?Lurgh?T,Earthquake,8,1
B?Nkura,Earthquake,5,1
B?Sugaon,Earthquake,6,1
B?Wal,Earthquake,11,1
Babrang Village Under Jang Circle In Tawang District,Landslide,5,1
Badrinath,Landslide,9,1
"Badrinath And Yamunotri Shrines(?), Garhwal Region, Uttarakhand",Landslide,7,1
Badrinath Highway Near Mulygoan In Tihri,Landslide,11,1
"Badrinath Rd,  Rishikesh, Uttarakhand",Landslide,5,1
"Badrinath Route, Lambagarh(?), Uttarakhand",Landslide,8,1
Bagalkot,Flood,1,1
Bagalkot,Flood,5,1
"Bageshwar, Uttarakhand",Landslide,9,1
"Baglihar Dam, On River Chenab, Chanderkote In Banihal, Ramban , Jammu And Kashmir",Landslide,9,1
Bagul?,Earthquake,9,1
Bahraich,Flood,7,1
Baikunthpur,Earthquake,10,1
Baksa,Flood,1,1
Baksa,Flood,9,1
"Bala, Pithoragarh, Uttarakhand (450Km From Deheradun)",Landslide,8,1
Balangir,Flood,7,1
Balasore,Flood,5,1
Balasore,Flood,7,1
"Baliyanala, Nainithal",Landslide,10,1
Ballia,Flood,7,3
Balsori Villages In The Akhrori Area,Landslide,7,1
Baltal,Landslide,7,1
"Balussery, Kozhikode, Kerala",Landslide,3,1
Bamunimaidam,Landslide,6,1
Banaskantha,Flood,7,1
Bandar,Cyclone,11,1
Bandibala,Landslide,3,1
Bangalore,Flood,5,1
Bangalore Rural,Flood,4,1
"Banganga-Ardhkuwari Road, Enroute To He Cave Shrine Of Mata Vaishnodevi In Jammu And Kashmirâ€™S Reasi District",Landslide,5,1
Bangapani Area Of Pithoragarh,Landslide,5,1
"Banihal, Ramban District, Kashmir",Landslide,8,1
"Banihal, Srinagar-Jammu Highway",Landslide,1,1
Banj?R,Earthquake,1,1
Banj?R,Earthquake,10,2
Banj?R,Earthquake,12,1
Bankura,Flood,7,3
"Bantwal Cross (Bc) Road Flyover, Nh48, Between Mangalore And Beltangady(Belthangady) And Puttur, Bantwal, Karnataka",Landslide,11,1
Bapatla,Cyclone,11,1
"Baralacha La And Rahni Nallah, Himachal Pradesh Along Manali Â€“ Leh Highway",Landslide,4,1
Baran,Flood,11,2
Bardang Near Singtam,Landslide,7,1
Barddhaman,Flood,7,1
Bardhaman,Flood,7,1
Bareilly,Flood,11,1
Barisal Impact Wb,Cyclone,10,1
Barkot,Earthquake,2,1
Barkot,Earthquake,7,1
Barkot,Earthquake,9,1
Barmer,Flood,5,1
Barmer,Flood,8,2
Barmer,Flood,9,1
"Barnoi, Bandipora, Kashmir",Landslide,8,1
Baroda,Flood,7,1
"Barog, Shimla; Chandigarh-Shimla National Highway",Landslide,8,1
Barpeta,Earthquake,3,1
Barpeta,Flood,1,2
Barpeta,Flood,3,1
Barpeta,Flood,7,5
Barpeta,Flood,9,1
Barpeta Road,Earthquake,5,1
Barwani,Flood,8,1
"Basantpur Or Gouchar Village (Two Conflicting Sources), Chamoli District",Landslide,5,1
Baskatwa In Gaya District,Landslide,9,1
Basohli-Bani Road,Landslide,8,1
Batahghuli,Landslide,9,1
"Batahguli, Guwahati, Assam",Landslide,6,1
Batote,Landslide,10,1
"Batote-Doda Highway, Ramgarh(?), Baggar(Bagger)(?) Area, Doda District, Jammu And Kashmir",Landslide,8,1
"Batote-Doda-Kishtwar Road, At Jathi(?) And Drabshalla, Jammu And Kashmir",Landslide,2,1
"Batote-Kishtwar Highway, Kishtwar Stretch",Landslide,7,1
Bauda,Flood,5,1
"Bazpur, Uttarakhand",Landslide,7,1
Beerwah,Landslide,3,1
Begusarai,Flood,3,1
Beldanga,Landslide,7,1
Belgaum,Flood,1,1
Belgaum,Flood,5,1
Belgaum,Flood,8,1
Belgaum,Flood,11,1
Beli?Tor,Earthquake,2,1
Bellary,Flood,1,1
Bellary,Flood,2,1
Bellary,Flood,6,1
Bellary,Flood,7,1
Bellary,Flood,8,1
Bellary,Flood,10,1
Belonia,Earthquake,7,1
Berhampur,Cyclone,11,1
Beri Kh?S,Earthquake,9,1
Between Bally Halt And Rajchandrapur Stations In Kolkata,Landslide,8,1
"Between Banihal And Batote, Udhampur, National Highway, Jammu",Landslide,7,1
Between Batote And Ramban,Landslide,12,1
Between Bongyang And Lokchao Along The Imphal-Moreh Highway,Landslide,1,1
Between Chalong And Paraolon,Landslide,1,1
"Between Haflong And  Bagetar, Assam",Landslide,3,1
Between Kasara And Igatpuri,Landslide,12,1
"Between Kathalighat(Kathleeghat) And Knoh(?) Stations, Rail Line Between Solan And Shimla 15 Km Form Shimla, Himachal Pradesh",Landslide,9,1
"Between Mahur And Maigrandisa(?) Or Lumding, Assam",Landslide,9,1
Between Mahur And Phaiding Railway Stations On Barail Hills (Mahur And Barail Hills Located),Landslide,8,1
"Between Maibang And Daotohaja, Assam",Landslide,3,1
Between Maku Village And Kamjong Sub Division,Landslide,1,1
Between Manali And Rohtang,Landslide,8,1
Between Moltuk To New Songjang Village,Landslide,1,1
Between Phesama And Kuima In Nagaland,Landslide,8,1
"Between Rudaprayag And Guptkashi, Uttarakhand (2 Landslides)",Landslide,6,1
Between Siliguri And Sevak,Landslide,12,1
Between Tengnoupal-Sita Junction And Tengnoupal Power Sub-Station,Landslide,1,1
Bh?Nder,Earthquake,8,1
Bhach?U,Earthquake,1,2
Bhach?U,Earthquake,2,1
Bhach?U,Earthquake,3,1
Bhach?U,Earthquake,8,1
Bhadrachalam,Flood,8,2
Bhadrak,Cyclone,10,1
Bhadrak,Flood,3,1
Bhagalpur,Flood,7,3
Bhandara,Flood,5,1
"Bhangagarh, Assam",Landslide,6,1
Bharuch,Flood,1,1
Bharuch,Flood,7,2
"Bhatwari Area Of Uttarkashi Districti, Uttarakhand",Landslide,7,1
"Bhatwari, Rishikesh-Gangotri Highway, Uttarkhand",Landslide,8,1
"Bhatwari, Rishikesh-Gangotri Hwy",Landslide,3,1
Bhavnagar,Cyclone,9,1
Bhavnagar,Flood,1,1
"Bhikona Village, Pokhri Block, Chamoli Village, Uttarakhand",Landslide,10,1
"Bhimtal Area, Naintal District, Uttarakhand",Landslide,7,1
Bhind,Flood,7,1
Bhojpur,Flood,1,1
Bhojpur,Flood,7,2
Bhojpur,Landslide,5,1
Bhopal,Flood,8,1
Bhubaneswar,Cyclone,10,2
Bhusawal,Flood,7,1
Biama Area Of Khalsi Tehsil In Leh District,Landslide,3,1
Bid,Flood,2,1
Bid,Flood,7,1
Bidar,Flood,7,1
Bidar,Flood,8,1
Bijapur,Flood,8,3
Bikaner,Flood,5,1
Bikaner,Flood,12,1
Bil?Sip?Ra,Earthquake,8,1
"Bilaipur, Hailakandi District, Assam, India",Landslide,5,1
Bilaspur,Earthquake,8,1
Bilaspur,Flood,5,1
Bilaspur,Flood,6,1
Bilaspur,Flood,8,1
Bilaspur,Flood,10,1
"Bilaspur And Mandi Towns, Chandigarh-Manali National Highway-21, Himachal Pradesh",Landslide,9,1
Birbhum,Flood,7,1
"Birik On Nh31A, Kalimpong",Landslide,6,1
Bishnupur,Flood,7,1
Blocked The Track Between Railpathri And Baltal,Landslide,3,1
"Blue Metal Quarry, Kondayanpatti, Madurai District, India",Landslide,7,1
Bok?Kh?T,Earthquake,2,1
Bok?Kh?T,Earthquake,4,1
Bok?Kh?T,Earthquake,5,1
Bok?Kh?T,Earthquake,7,1
Bok?Kh?T,Earthquake,11,3
Bok?Kh?T,Earthquake,12,1
Bokaj?N,Earthquake,2,1
Bolangir,Flood,5,1
Bomdila,Earthquake,1,1
Bomdila,Earthquake,2,1
Bomdila,Earthquake,3,1
Bomdila,Earthquake,4,2
Bomdila,Earthquake,5,1
Bomdila,Earthquake,6,1
Bomdila,Earthquake,7,2
Bomdila,Earthquake,8,4
Bomdila,Earthquake,9,2
Bomdila,Earthquake,10,1
Bomdila,Earthquake,11,1
Bomdila,Earthquake,12,1
Bongaigaon,Earthquake,2,1
Bongaigaon,Earthquake,7,1
Bongaigaon,Flood,1,2
Bongaigaon,Flood,7,3
"Bop, Sikkim",Landslide,5,1
"Boragaon, North Guwahati, Guwahati, Assam,",Landslide,11,1
"Borra Caves, Andhra Pradesh",Landslide,8,1
"Borsorsa(?), West Khasi Hills, Meghalaya",Landslide,6,1
Botsa  And Chiechama,Landslide,8,1
