month,global_month_count,global_month_pct
1,329,0.051624038914169154
2,239,0.037501961399654796
3,305,0.047858151576965324
4,254,0.039855640985407184
5,409,0.06417699670484858
6,611,0.09587321512631414
7,1535,0.24085987760866154
8,788,0.12364663423819237
9,642,0.10073748627020242
10,526,0.08253569747371725
11,446,0.06998273968303781
12,289,0.04534756001882944
