grid_cell,disaster_type,month,grid_monthly_count
11.1_92.5,Earthquake,12,1
11.1_92.9,Earthquake,2,1
11.1_92.9,Earthquake,6,1
11.1_93.4,Earthquake,2,1
11.1_93.6,Earthquake,11,1
11.1_95.0,Earthquake,9,1
11.1_95.2,Earthquake,11,1
11.2_75.8,Flood,8,1
11.2_79.9,Cyclone,12,1
11.2_80.0,Cyclone,11,1
11.2_92.2,Earthquake,2,1
11.2_92.3,Earthquake,2,1
11.2_92.4,Earthquake,2,1
11.2_92.5,Earthquake,3,1
11.2_93.0,Earthquake,10,1
11.2_93.7,Earthquake,9,1
11.2_93.8,Earthquake,12,1
11.2_94.8,Earthquake,6,1
11.2_95.1,Earthquake,11,1
11.3_75.8,Landslide,6,1
11.3_76.2,Landslide,9,1
11.3_76.6,Landslide,7,1
11.3_76.8,Landslide,2,1
11.3_76.8,Landslide,4,2
11.3_76.8,Landslide,7,1
11.3_76.9,Landslide,6,1
11.3_76.9,Landslide,7,1
11.3_76.9,Landslide,10,1
11.3_76.9,Landslide,11,1
11.3_77.1,Landslide,10,1
11.3_80.1,Cyclone,11,1
11.3_80.6,Cyclone,12,1
11.3_92.2,Earthquake,1,1
11.3_95.0,Earthquake,11,1
11.4_75.8,Landslide,3,1
11.4_76.0,Landslide,7,1
11.4_76.7,Landslide,6,2
11.4_76.7,Landslide,7,1
11.4_76.7,Landslide,9,1
11.4_76.7,Landslide,10,1
11.4_76.7,Landslide,11,1
11.4_77.9,Landslide,10,1
11.4_92.1,Earthquake,5,1
11.4_92.5,Earthquake,5,1
11.4_92.8,Earthquake,8,1
11.4_93.7,Earthquake,12,1
11.4_95.0,Earthquake,7,1
11.5_76.0,Landslide,3,1
11.5_76.5,Landslide,6,1
11.5_76.5,Landslide,7,1
11.5_80.0,Cyclone,5,1
11.5_92.0,Earthquake,3,1
11.5_92.4,Earthquake,1,1
11.5_94.9,Earthquake,9,1
11.6_76.1,Landslide,8,3
11.6_79.9,Cyclone,11,1
11.6_80.4,Cyclone,10,1
11.6_92.3,Earthquake,8,1
11.6_92.7,Earthquake,12,1
11.6_93.0,Earthquake,1,1
11.6_93.1,Earthquake,2,1
11.6_93.6,Earthquake,9,1
11.6_95.0,Earthquake,1,1
11.6_95.0,Earthquake,3,1
11.7_76.1,Landslide,6,1
11.7_77.6,Landslide,8,1
11.7_79.9,Cyclone,10,1
11.7_79.9,Cyclone,12,1
11.7_80.1,Cyclone,5,1
11.7_80.6,Cyclone,12,1
11.7_92.0,Earthquake,5,1
11.7_92.3,Earthquake,3,1
11.7_92.3,Earthquake,6,1
11.7_92.3,Earthquake,8,1
11.7_92.4,Earthquake,2,1
11.7_92.5,Earthquake,7,1
11.7_92.7,Earthquake,2,1
11.7_92.7,Earthquake,5,1
11.7_92.7,Landslide,6,1
11.7_93.0,Earthquake,7,1
11.7_93.8,Earthquake,4,1
11.8_74.3,Cyclone,11,1
11.8_75.5,Landslide,7,1
11.8_78.2,Landslide,7,1
11.8_78.2,Landslide,10,1
11.8_78.9,Flood,11,3
11.8_79.8,Cyclone,10,1
11.8_79.8,Cyclone,11,3
11.8_79.8,Cyclone,12,2
11.8_80.0,Cyclone,12,1
11.8_92.2,Earthquake,3,1
11.8_92.4,Earthquake,5,1
11.8_92.4,Earthquake,6,1
11.8_92.4,Earthquake,11,1
11.8_92.6,Earthquake,4,1
11.8_92.9,Earthquake,1,1
11.8_92.9,Earthquake,5,1
11.8_92.9,Earthquake,12,1
11.8_93.6,Earthquake,12,1
11.8_94.9,Earthquake,2,1
11.8_95.0,Earthquake,8,1
11.9_75.4,Landslide,7,1
11.9_79.8,Cyclone,11,1
11.9_80.4,Cyclone,10,1
11.9_93.2,Earthquake,9,1
11.9_93.3,Earthquake,1,1
11.9_93.6,Earthquake,8,1
11.9_94.3,Earthquake,7,1
11.9_95.0,Earthquake,4,1
12.0_77.3,Cyclone,9,1
12.0_80.0,Cyclone,5,1
12.0_80.0,Cyclone,10,1
12.0_80.2,Earthquake,9,1
12.0_80.4,Cyclone,11,1
12.0_80.5,Cyclone,10,1
12.0_92.0,Cyclone,5,2
12.0_92.4,Earthquake,8,1
12.0_93.1,Earthquake,1,1
12.0_94.4,Earthquake,8,1
12.0_94.9,Earthquake,12,1
12.0_95.0,Earthquake,4,1
12.0_95.1,Earthquake,4,1
12.0_95.1,Earthquake,8,1
12.1_80.0,Cyclone,11,1
12.1_80.1,Cyclone,11,1
12.1_80.2,Cyclone,11,1
12.1_92.6,Earthquake,5,1
12.1_92.7,Earthquake,1,1
12.1_93.5,Earthquake,8,1
12.1_93.7,Earthquake,1,1
12.1_93.9,Earthquake,9,1
12.1_95.1,Earthquake,3,1
12.1_95.2,Earthquake,7,1
12.1_95.5,Earthquake,8,1
12.2_80.3,Cyclone,12,1
12.2_80.8,Cyclone,11,1
12.2_80.9,Cyclone,11,1
12.2_92.6,Earthquake,4,1
12.2_92.7,Earthquake,12,1
12.2_93.0,Earthquake,6,1
12.2_93.1,Earthquake,4,1
12.2_93.4,Earthquake,5,1
12.2_93.4,Earthquake,8,1
12.2_93.7,Earthquake,8,1
12.2_93.7,Earthquake,9,1
12.2_93.7,Earthquake,11,1
12.2_94.3,Earthquake,12,1
12.2_94.7,Earthquake,9,1
12.2_95.0,Earthquake,9,1
12.2_95.2,Earthquake,3,1
12.2_95.2,Earthquake,7,1
12.3_74.2,Cyclone,5,1
12.3_80.2,Cyclone,11,1
12.3_80.4,Cyclone,3,1
12.3_80.5,Cyclone,10,1
12.3_92.5,Earthquake,1,1
12.3_92.5,Earthquake,7,1
12.3_92.7,Earthquake,3,1
12.3_92.8,Earthquake,5,1
12.3_92.8,Earthquake,10,1
12.3_93.2,Earthquake,5,1
12.3_93.5,Earthquake,5,1
12.3_94.3,Earthquake,7,1
12.3_94.9,Earthquake,8,1
12.3_95.1,Earthquake,2,1
12.4_80.2,Cyclone,5,1
12.4_80.3,Cyclone,11,1
12.4_92.6,Earthquake,1,1
12.4_92.7,Earthquake,3,1
12.4_95.4,Earthquake,4,1
12.5_80.2,Cyclone,10,1
12.5_80.3,Cyclone,11,1
12.5_80.4,Cyclone,11,1
12.5_80.5,Cyclone,5,1
12.5_92.5,Earthquake,9,1
12.5_92.7,Earthquake,4,1
12.5_92.8,Earthquake,11,1
12.5_93.3,Earthquake,3,1
12.5_93.3,Earthquake,12,1
12.5_93.5,Earthquake,6,1
12.5_93.9,Earthquake,7,1
12.5_95.1,Earthquake,4,1
12.5_95.2,Earthquake,9,1
12.6_75.6,Landslide,10,1
12.6_80.2,Cyclone,10,1
12.6_80.2,Cyclone,11,1
12.6_80.3,Cyclone,10,1
12.6_80.3,Cyclone,11,1
12.6_93.6,Earthquake,2,1
12.6_95.1,Earthquake,6,1
12.6_95.1,Earthquake,12,1
12.6_95.2,Earthquake,4,1
12.6_95.2,Earthquake,5,1
12.6_95.3,Earthquake,8,1
12.6_95.5,Earthquake,6,1
12.6_95.5,Earthquake,8,1
12.7_75.3,Landslide,6,1
12.7_79.7,Flood,10,1
12.7_80.2,Cyclone,12,1
12.7_80.4,Cyclone,10,1
12.7_92.3,Earthquake,10,1
12.7_92.4,Earthquake,9,1
12.7_92.9,Earthquake,11,1
12.7_93.0,Earthquake,7,1
12.7_93.2,Earthquake,6,1
12.7_93.4,Earthquake,12,1
12.7_93.9,Earthquake,6,1
12.7_95.1,Earthquake,2,1
12.7_95.3,Earthquake,11,1
12.7_95.4,Earthquake,10,1
12.7_95.5,Earthquake,10,1
12.8_74.9,Landslide,4,1
12.8_74.9,Landslide,6,1
12.8_75.1,Landslide,7,1
12.8_75.2,Landslide,6,1
12.8_75.7,Landslide,12,1
12.8_80.2,Cyclone,12,1
12.8_80.4,Cyclone,12,1
12.8_80.5,Cyclone,11,1
12.8_92.1,Earthquake,12,1
12.8_92.6,Earthquake,9,1
12.8_92.6,Earthquake,10,1
12.8_92.9,Earthquake,6,1
12.8_92.9,Earthquake,12,1
12.8_93.0,Earthquake,2,1
12.8_93.0,Earthquake,7,1
12.8_93.1,Earthquake,5,1
12.8_93.9,Earthquake,5,1
12.9_74.8,Landslide,9,1
12.9_74.9,Landslide,4,1
12.9_74.9,Landslide,6,3
12.9_74.9,Landslide,7,3
12.9_75.0,Landslide,7,1
12.9_75.0,Landslide,11,1
12.9_75.8,Landslide,8,1
12.9_80.5,Cyclone,11,2
12.9_92.3,Earthquake,4,1
12.9_92.5,Earthquake,2,1
12.9_92.5,Earthquake,9,1
12.9_92.6,Earthquake,1,1
12.9_93.0,Earthquake,1,1
12.9_93.0,Earthquake,3,1
12.9_93.3,Earthquake,4,1
12.9_93.3,Earthquake,5,1
12.9_93.3,Earthquake,12,1
12.9_93.9,Earthquake,10,1
13.0_76.3,Landslide,3,1
13.0_77.6,Landslide,8,1
13.0_80.2,Cyclone,10,1
13.0_80.2,Cyclone,11,1
13.0_80.2,Landslide,11,1
13.0_92.3,Earthquake,10,1
13.0_92.4,Earthquake,3,1
13.0_92.4,Earthquake,10,1
13.0_92.5,Earthquake,6,1
13.0_92.6,Earthquake,3,1
13.0_93.0,Earthquake,4,1
13.0_93.0,Earthquake,10,1
13.0_93.1,Earthquake,9,1
13.0_93.1,Earthquake,12,1
13.0_93.2,Earthquake,3,1
13.0_93.2,Earthquake,7,1
13.0_93.2,Earthquake,8,1
13.0_93.2,Earthquake,10,2
13.0_93.3,Earthquake,1,1
13.0_93.3,Earthquake,4,1
13.0_93.4,Earthquake,4,1
13.0_93.4,Earthquake,6,1
13.0_93.5,Earthquake,12,1
13.0_93.6,Earthquake,3,1
13.0_93.7,Earthquake,1,1
13.0_94.0,Earthquake,4,1
13.1_80.3,Cyclone,5,1
13.1_80.3,Cyclone,10,2
13.1_80.3,Cyclone,11,2
13.1_80.3,Cyclone,12,2
13.1_80.3,Flood,11,1
13.1_80.5,Cyclone,10,1
13.1_80.5,Cyclone,11,1
13.1_92.3,Earthquake,11,1
13.1_92.5,Earthquake,9,1
13.1_92.5,Earthquake,11,1
13.1_92.6,Earthquake,11,1
13.1_92.6,Earthquake,12,1
13.1_92.7,Earthquake,4,1
13.1_93.1,Earthquake,11,1
13.1_93.2,Earthquake,5,1
13.1_93.2,Earthquake,9,1
13.1_93.2,Earthquake,11,1
13.1_93.3,Earthquake,6,1
13.1_93.4,Earthquake,1,1
13.2_76.1,Landslide,2,1
13.2_80.3,Cyclone,11,1
13.2_80.4,Cyclone,5,1
13.2_92.2,Earthquake,5,1
13.2_92.4,Earthquake,5,1
13.2_92.5,Earthquake,4,1
13.2_92.7,Earthquake,6,1
13.2_92.9,Earthquake,4,1
13.2_93.3,Earthquake,7,1
13.3_80.4,Cyclone,10,1
13.3_80.7,Cyclone,11,1
