grid_cell,disaster_type,grid_avg_deaths
20.1_86.2,Cyclone,1500.0
20.2_73.8,Flood,350.0
20.2_85.6,Flood,65.0
20.2_86.2,Cyclone,3000.0
20.2_86.2,Flood,48.0
20.3_85.8,Cyclone,267.5
20.3_86.6,Cyclone,2557.5
20.4_78.1,Flood,12.0
20.5_73.2,Landslide,0.0
20.5_84.2,Flood,45.0
20.5_85.9,Cyclone,600.0
20.5_85.9,Flood,61.75
20.5_86.4,Cyclone,1200.0
20.5_86.4,Flood,98.5
20.7_83.5,Flood,110.0
20.8_71.0,Cyclone,22.0
20.8_83.9,Flood,44.0
20.8_84.3,Flood,40.0
20.8_86.3,Flood,88.0
20.9_70.4,Cyclone,8.0
20.9_77.7,Landslide,3.0
21.0_75.8,Flood,35.0
21.0_86.5,Cyclone,50.0
21.2_72.8,Cyclone,28.0
21.2_72.8,Flood,173.0
21.5_70.5,Cyclone,35.0
21.5_84.0,Flood,55.0
21.5_86.9,Flood,47.5
21.6_69.6,Cyclone,20.0
21.6_71.2,Flood,72.5
21.6_87.5,Cyclone,50.0
21.6_88.1,Cyclone,22.5
21.7_73.0,Flood,32.5
21.7_74.2,Landslide,8.0
21.7_88.5,Cyclone,15.0
21.8_72.2,Cyclone,19.0
21.8_75.6,Landslide,15.0
21.8_83.9,Landslide,7.0
22.0_74.9,Flood,40.0
22.0_88.7,Flood,48.0
22.0_88.9,Cyclone,149.0
22.1_78.9,Landslide,3.0
22.3_69.7,Cyclone,10.0
22.3_73.2,Flood,442.6666666666667
22.3_88.3,Flood,47.0
22.3_88.6,Cyclone,149.0
22.4_87.3,Cyclone,30.0
22.4_87.3,Flood,522.6666666666666
22.5_88.0,Cyclone,23.0
22.5_89.0,Cyclone,20.0
22.5_91.0,Cyclone,15.0
22.6_88.3,Flood,95.0
22.6_88.4,Cyclone,173.0
22.6_88.5,Flood,1103.0
22.7_92.8,Landslide,0.0
22.8_77.7,Flood,35.0
22.8_86.2,Flood,38.0
22.9_92.7,Landslide,26.0
23.0_70.2,Cyclone,1173.0
23.0_72.6,Landslide,5.0
23.0_91.7,Landslide,3.0
23.2_87.1,Flood,61.0
23.2_87.8,Flood,53.333333333333336
23.3_92.8,Landslide,18.0
23.3_93.1,Landslide,0.0
23.4_92.8,Landslide,0.5
23.4_93.3,Landslide,20.0
23.5_93.4,Landslide,2.0
23.6_92.9,Landslide,0.0
23.7_69.9,Flood,15.0
23.7_87.5,Flood,40.0
23.7_92.7,Landslide,10.272727272727273
23.8_92.5,Landslide,4.0
23.8_92.7,Landslide,0.0
23.8_93.1,Landslide,0.0
23.9_88.2,Landslide,1.0
23.9_91.8,Landslide,0.0
23.9_94.1,Landslide,0.0
24.0_84.1,Landslide,0.0
24.0_92.0,Landslide,16.0
24.0_92.7,Landslide,0.0
24.0_94.0,Landslide,0.0
24.0_94.1,Landslide,0.0
24.1_91.5,Landslide,1.0
24.1_94.1,Landslide,0.0
24.2_72.4,Flood,72.0
24.2_73.7,Landslide,0.0
24.2_88.3,Flood,55.0
24.2_94.1,Landslide,0.0
24.3_93.1,Landslide,0.0
24.3_94.1,Landslide,0.0
24.4_85.6,Landslide,2.0
24.4_94.1,Landslide,1.0
24.4_94.2,Landslide,0.0
24.5_85.3,Landslide,0.0
24.5_92.5,Landslide,3.0
24.5_92.7,Landslide,2.0
24.5_94.0,Landslide,28.0
24.6_72.7,Landslide,0.0
24.6_92.4,Landslide,2.0
24.6_92.6,Landslide,2.0
24.6_93.8,Flood,24.0
24.7_85.6,Landslide,0.0
24.7_93.4,Landslide,0.0
24.7_93.5,Landslide,0.0
24.7_93.9,Landslide,0.0
24.8_85.0,Flood,36.5
24.8_93.0,Landslide,5.0
24.8_93.1,Landslide,3.0
24.8_93.4,Landslide,0.0
24.8_93.5,Landslide,0.0
24.8_93.6,Landslide,2.0
24.8_93.9,Landslide,6.0
24.8_94.4,Landslide,0.0
24.9_92.4,Landslide,7.0
24.9_93.5,Landslide,0.0
24.9_93.7,Landslide,20.0
24.9_93.8,Landslide,0.0
25.0_83.6,Flood,12.0
25.0_88.1,Cyclone,50.0
25.0_92.5,Landslide,0.0
25.0_92.8,Landslide,2.5
25.0_93.5,Landslide,6.666666666666667
25.0_93.6,Landslide,1.0
25.0_94.2,Landslide,0.0
25.0_94.3,Landslide,0.0
25.1_75.7,Landslide,2.0
25.1_92.4,Landslide,0.0
25.1_92.8,Landslide,0.0
25.1_92.9,Landslide,0.0
25.1_93.4,Landslide,0.0
