district,disaster_type,district_event_count
Banaskantha,Flood,1
Bandar,Cyclone,1
Bandibala,Landslide,1
Bangalore,Flood,1
Bangalore Rural,Flood,1
"Banganga-Ardhkuwari Road, Enroute To He Cave Shrine Of Mata Vaishnodevi In Jammu And Kashmirâ€™S Reasi District",Landslide,1
Bangapani Area Of Pithoragarh,Landslide,1
"Banihal, Ramban District, Kashmir",Landslide,1
"Banihal, Srinagar-Jammu Highway",Landslide,1
Banj?R,Earthquake,4
Bankura,Flood,3
"Bantwal Cross (Bc) Road Flyover, Nh48, Between Mangalore And Beltangady(Belthangady) And Puttur, Bantwal, Karnataka",Landslide,1
Bapatla,Cyclone,1
"Baralacha La And Rahni Nallah, Himachal Pradesh Along Manali Â€“ Leh Highway",Landslide,1
Baran,Flood,2
Bardang Near Singtam,Landslide,1
Barddhaman,Flood,1
Bardhaman,Flood,1
Bareilly,Flood,1
Barisal Impact Wb,Cyclone,1
Barkot,Earthquake,3
Barmer,Flood,4
"Barnoi, Bandipora, Kashmir",Landslide,1
Baroda,Flood,1
"Barog, Shimla; Chandigarh-Shimla National Highway",Landslide,1
Barpeta,Earthquake,1
Barpeta,Flood,9
Barpeta Road,Earthquake,1
Barwani,Flood,1
"Basantpur Or Gouchar Village (Two Conflicting Sources), Chamoli District",Landslide,1
Baskatwa In Gaya District,Landslide,1
Basohli-Bani Road,Landslide,1
Batahghuli,Landslide,1
"Batahguli, Guwahati, Assam",Landslide,1
Batote,Landslide,1
"Batote-Doda Highway, Ramgarh(?), Baggar(Bagger)(?) Area, Doda District, Jammu And Kashmir",Landslide,1
"Batote-Doda-Kishtwar Road, At Jathi(?) And Drabshalla, Jammu And Kashmir",Landslide,1
"Batote-Kishtwar Highway, Kishtwar Stretch",Landslide,1
Bauda,Flood,1
"Bazpur, Uttarakhand",Landslide,1
Beerwah,Landslide,1
Begusarai,Flood,1
Beldanga,Landslide,1
Belgaum,Flood,4
Beli?Tor,Earthquake,1
Bellary,Flood,6
Belonia,Earthquake,1
Berhampur,Cyclone,1
Beri Kh?S,Earthquake,1
Between Bally Halt And Rajchandrapur Stations In Kolkata,Landslide,1
"Between Banihal And Batote, Udhampur, National Highway, Jammu",Landslide,1
Between Batote And Ramban,Landslide,1
Between Bongyang And Lokchao Along The Imphal-Moreh Highway,Landslide,1
Between Chalong And Paraolon,Landslide,1
"Between Haflong And  Bagetar, Assam",Landslide,1
Between Kasara And Igatpuri,Landslide,1
"Between Kathalighat(Kathleeghat) And Knoh(?) Stations, Rail Line Between Solan And Shimla 15 Km Form Shimla, Himachal Pradesh",Landslide,1
"Between Mahur And Maigrandisa(?) Or Lumding, Assam",Landslide,1
Between Mahur And Phaiding Railway Stations On Barail Hills (Mahur And Barail Hills Located),Landslide,1
"Between Maibang And Daotohaja, Assam",Landslide,1
Between Maku Village And Kamjong Sub Division,Landslide,1
Between Manali And Rohtang,Landslide,1
Between Moltuk To New Songjang Village,Landslide,1
Between Phesama And Kuima In Nagaland,Landslide,1
"Between Rudaprayag And Guptkashi, Uttarakhand (2 Landslides)",Landslide,1
Between Siliguri And Sevak,Landslide,1
Between Tengnoupal-Sita Junction And Tengnoupal Power Sub-Station,Landslide,1
Bh?Nder,Earthquake,1
Bhach?U,Earthquake,5
Bhadrachalam,Flood,2
Bhadrak,Cyclone,1
Bhadrak,Flood,1
Bhagalpur,Flood,3
Bhandara,Flood,1
"Bhangagarh, Assam",Landslide,1
Bharuch,Flood,3
"Bhatwari Area Of Uttarkashi Districti, Uttarakhand",Landslide,1
"Bhatwari, Rishikesh-Gangotri Highway, Uttarkhand",Landslide,1
"Bhatwari, Rishikesh-Gangotri Hwy",Landslide,1
Bhavnagar,Cyclone,1
Bhavnagar,Flood,1
"Bhikona Village, Pokhri Block, Chamoli Village, Uttarakhand",Landslide,1
"Bhimtal Area, Naintal District, Uttarakhand",Landslide,1
Bhind,Flood,1
Bhojpur,Flood,3
Bhojpur,Landslide,1
Bhopal,Flood,1
Bhubaneswar,Cyclone,2
Bhusawal,Flood,1
Biama Area Of Khalsi Tehsil In Leh District,Landslide,1
Bid,Flood,2
Bidar,Flood,2
Bijapur,Flood,3
Bikaner,Flood,2
Bil?Sip?Ra,Earthquake,1
"Bilaipur, Hailakandi District, Assam, India",Landslide,1
Bilaspur,Earthquake,1
Bilaspur,Flood,4
"Bilaspur And Mandi Towns, Chandigarh-Manali National Highway-21, Himachal Pradesh",Landslide,1
Birbhum,Flood,1
"Birik On Nh31A, Kalimpong",Landslide,1
Bishnupur,Flood,1
Blocked The Track Between Railpathri And Baltal,Landslide,1
"Blue Metal Quarry, Kondayanpatti, Madurai District, India",Landslide,1
Bok?Kh?T,Earthquake,8
Bokaj?N,Earthquake,1
Bolangir,Flood,1
Bomdila,Earthquake,18
Bongaigaon,Earthquake,2
Bongaigaon,Flood,5
"Bop, Sikkim",Landslide,1
"Boragaon, North Guwahati, Guwahati, Assam,",Landslide,1
"Borra Caves, Andhra Pradesh",Landslide,1
"Borsorsa(?), West Khasi Hills, Meghalaya",Landslide,1
Botsa  And Chiechama,Landslide,1
Boudh,Flood,2
"Brahmananda Reddy Nagar(?), Machavaram, Vijayawada City, Andhra Pradesh",Landslide,1
"Bridge Between Coonoor And Barliar, Tamil Nadu",Landslide,1
Budaun,Flood,1
"Bungte Chiru Village(?), Senapati District, Manipur",Landslide,1
Burdwan,Flood,1
Buxar,Flood,1
Byrnihat,Landslide,1
Cachar,Flood,1
Cachar / Dima Hasao,Earthquake,13
Canacona,Landslide,1
Carmel School In Palakkayam,Landslide,1
Ch??B?Sa,Earthquake,1
"Chadiyan(?) Village Near Uri, Baramulla District, Jammu And Kashmir",Landslide,1
