district,disaster_type,district_avg_deaths
"Kinnaur District, Himachal Pradesh",Landslide,4.0
"Kiphire,  Nagaland",Landslide,0.0
Kiphire-Seyochung Road Near Yangzitong Village,Landslide,0.0
"Kiphire-Tuensang Rd, Nagaland",Landslide,0.0
Kishtwar,Landslide,3.0
"Kishtwar-Chatroo Road, Kishtwar Region Of Jammu And Kashmir",Landslide,12.0
"Klibi Patwar, Theog",Landslide,3.0
Kodaikanal-Palani Ghat Road,Landslide,0.0
"Kodaikanal-Thandigudi(Thandikudi)-Batlagundu Hill Road, Tamil Nadu Province",Landslide,0.0
Kohima,Landslide,259.0
Kolhapur,Flood,125.0
Kolkata,Cyclone,173.0
"Koloriang, Kuring Kumey District, Arunachal Pradesh",Landslide,12.0
"Konkan Railway Tracks Close To Adavali Station, Ratnagiri, Maharashtra",Landslide,0.0
"Konkan Railway, Between Sindhudurg And Kudal",Landslide,0.0
Korwad Village Of Dharampur Taluka In Valsad District,Landslide,0.0
"Kot Village Of Tehri District,Â Uttarakhand",Landslide,2.0
Kota,Flood,82.66666666666667
"Koti Bridge(?), Chamba-Langera-Bhadarwah Border Road Connecting Doda District Of Jammu And Kashmir With Himachal Pradesh",Landslide,0.0
Kottayam,Landslide,15.5
"Kottayam-Kattapana Road, At Ellapara(Elappara) Village, Idukki, Kerala",Landslide,0.0
Kozhikode,Flood,45.0
Kozhipilly In Velliyamattom Village Under Thodupuzha Taluk,Landslide,0.0
Krishna,Flood,57.0
"Kulamavu Region, Kerala",Landslide,0.0
"Kulashekara-Konguru Mutt Road (Kongoor Mutt Road) Near Mangaluru Junction-Panambur Railway Line, Near Mangaluru, India",Landslide,0.0
"Kulgadi, Doda-Kishtwar Highway (Nh-1B)",Landslide,0.0
Kullan,Landslide,0.0
Kullu,Landslide,32.8
"Kullu Village(Or District?) Below Agricultural Lands, Himachal Pradesh",Landslide,0.0
"Kullu, Himachal Pradesh",Landslide,0.0
"Kullu-Manali Rd, Himachal Pradesh",Landslide,0.0
"Kumaon, Uttarakhand",Landslide,1.0
"Kumarhatti-Nahan Road, Himachal Pradesh",Landslide,0.0
"Kundial Village(?) Or Bopa Pull(?) Of Kashtigarh(Kastigarh )(?) Or Bhogal Village(?), Doda District, Jammu",Landslide,5.0
"Kunjuthanni, Idukki, Kerala",Landslide,2.0
Kurla Mumbai,Flood,450.0
Kurnool,Flood,241.66666666666666
Kurseong,Landslide,8.0
"Kurseong Sub-Division, Road Between Kurseong And New Jalpaiguri",Landslide,0.0
"Kurseong, Darjeeling, West Bengal",Landslide,7.0
Kutch,Flood,15.0
Kuzhithura-Erannial(Erani)(?) Section Of Nagercoil-Thiruvananthapuram Railway,Landslide,0.0
Laden In Chadoora,Landslide,16.0
"Laghama(?), Uri Sector, Baramulla District,Jammu And Kashmir",Landslide,0.0
Lahaul Spiti,Landslide,24.666666666666668
"Laipuitland , Aizawl, Mizoram",Landslide,15.0
Lakhimpur,Flood,67.25
"Lakhimpur District, Bihpuria, Assam",Landslide,17.0
Lakhipur,Landslide,5.0
Lalmati,Landslide,1.0
Lalunggaon Near Gorchuk Area,Landslide,3.0
Lambagad,Landslide,0.0
"Lambagad(?), Rishikesh-Badrinath Highway, Uttarakhand",Landslide,0.0
Lambagadh,Landslide,0.0
"Lana Mashoor(?) And Lana Polar(?) And Sewn(?) Villages, Sirmaur District",Landslide,0.0
"Langthabal Khoupum, Imphal, Manipur",Landslide,0.0
"Latiefabad(?) And Khawar(Kawhar)(?) Hamlets, Sheeri(?) Area, Baramulla District",Landslide,0.0
"Lava, Kalimpong",Landslide,1.0
"Lavasa Near Ekaant Hotel Resort In Davse, Pune District, India",Landslide,0.0
Legship,Landslide,0.0
Leh,Flood,255.0
Leh,Landslide,18.0
"Leh Airport, Ladakh, Jammu And Kashmir",Landslide,0.0
Leh Ladakh,Flood,255.0
"Limbu Dhura, Tingling",Landslide,19.0
"Lohardobha Billage, Dhari, Nainital",Landslide,6.0
Lohit,Landslide,12.0
Lohit District Of Arunachal Pradesh,Landslide,0.0
"Lower Chandmari Area, Pwd Department, Kohima, Manipur",Landslide,0.0
"Lower Majakong Ward, Mokokchung, Nagaland, India",Landslide,0.0
"Lower Pezielietsie(Tinpati), Kohima, Manipur",Landslide,0.0
Lucknow,Flood,56.666666666666664
Lumding-Badarpur Section In North Cachar Hills District,Landslide,0.0
Lunglei,Landslide,26.0
Machilipatnam,Cyclone,443.0
Madhepura,Flood,199.0
Madhubani,Flood,235.0
"Madibag Near Kadwad Village, Uttara Kannada District, North Karnataka",Landslide,24.0
Madikeri-Mangalore Highway,Landslide,0.0
Magarkote,Landslide,0.0
Mahabalipuram,Cyclone,64.5
Mahakali River At Bangabagad,Landslide,0.0
Maharashta On Konkan Railway Between Nivsur And Ratnagiri,Landslide,1.0
Maharashtra,Landslide,0.0
"Mahendra Village, Thana Line, Tingling Garden Village In Mirik",Landslide,42.0
Mahindra,Landslide,3.0
"Maighuli, Guwahati, Meghalaya",Landslide,4.0
"Main Road Between Gulem And Loliem And Cotigao, At Baddem, Goa, India",Landslide,0.0
Majuli,Flood,72.5
Malappuram,Landslide,10.0
Malda,Cyclone,50.0
Maligaon,Landslide,2.0
Malin Village,Landslide,151.0
"Malin, Pune, Maharashtra",Landslide,151.0
"Mall Rd, Nainital",Landslide,0.0
Malla,Landslide,0.0
"Malla, Uttarkashi, Uttarakhand",Landslide,0.0
Malpa,Landslide,217.5
Malpa Village,Landslide,380.0
"Malshej Ghat, Maharashtra",Landslide,2.0
"Malshej Ghat, Maharashtra, India",Landslide,0.0
"Malutar Tea Estate, Darjeeling, West Bengal",Landslide,2.0
Manali-Chandigarh Highway,Landslide,0.0
Manali-Leh Highway,Landslide,0.0
"Manali-Leh Highway, Rohtang Pass",Landslide,2.0
"Manali-Leh Road, Between Mari And Rohtang",Landslide,0.0
"Manali-Leh Road, Rohtang Pass",Landslide,0.0
"Manali-Rohtang Road, At Raninalah, Himachal Pradesh",Landslide,0.0
"Mandana(Madana) Village(?), Panchkula-Morni Rd, 20 Km From Panchkula, Haryana",Landslide,0.0
Mandi,Landslide,29.5
Mandi Belt Along Loc,Landslide,1.0
Mandi District,Landslide,0.0
Manipur,Landslide,0.0
"Maniyarankudy, Kerala",Landslide,1.0
"Manjakuttai, Tamil Nadu, India",Landslide,2.0
"Many Locations Around Namchi, Sikkim",Landslide,0.0
Maram (80 Km North Of Imphal),Landslide,0.0
"Maram Area In Senapati District, National Highway 39",Landslide,0.0
"Maram, Manipur",Landslide,0.0
"Marayoor In Idukki District, Kerala",Landslide,1.0
"Matak Mahari(?), Near Dehradun, Uttarakhand",Landslide,0.0
"Mathyali Village, Jakhnidhar, Uttarakhand, India",Landslide,0.0
Mawbah Under Mawprem Area,Landslide,8.0
"Maya Bar, Thokkottu, India",Landslide,0.0
Mebua (8 Km From Seppa),Landslide,0.0
Medinipur,Flood,55.0
Medrasula Village Of Madula Panchayat Of Araku Mandal,Landslide,5.0
Meghalaya,Landslide,0.0
"Mehaskwal Village, Himachal Pradesh",Landslide,1.0
"Melli Chalisey, Sikkim",Landslide,0.0
Meluri Sub-Division In Phek District Of Nagaland,Landslide,0.0
"Menagarh Near Sukki On Rishikesh Â€“ Gangotri Highway, Uttarakhand",Landslide,0.0
Midnapore,Cyclone,30.0
Midnapore,Flood,756.5
"Milimd Nagar Slum, Ghatkopar Area In Suburban Mumbai",Landslide,0.0
Mirik,Landslide,11.0
"Miru, Manali-Leh Highway",Landslide,0.0
Mirzapur,Flood,74.0
"Mizoram, India",Landslide,0.0
Mokokchung,Landslide,0.0
"Mon, Nagaland",Landslide,0.0
Morha Kalana Of Panchyat Dhannuparole In Tehsil Ramkot,Landslide,0.0
Morha-Chuhara Village In Billawar Tehsil,Landslide,0.0
Morigaon,Flood,74.0
"Mosing Village, Upper Siang District, Arunachal Pradesh",Landslide,10.0
"Mossing(Mosing) Village(?), Upper Siang District, Arunachal Pradesh",Landslide,10.0
Mount Abu,Landslide,0.0
"Mount Abu, Harna Hanuman Temple",Landslide,0.0
"Muanna Locality, Mizoram",Landslide,0.0
Mughal Road At Lal Ghulam Pahari (25 Km From Shopian),Landslide,2.0
Mumbai,Flood,1094.0
Mumbai,Landslide,38.0
Mumbai-Pune Expressway Near Khandala Tunnel,Landslide,0.0
"Mundral In Kishtwar District, Jammu And Kashmir",Landslide,2.0
Munger,Flood,55.0
Munjur Near Mettupalayam,Landslide,0.0
"Munnar, Idukki District, Kerala",Landslide,0.0
"Munsyari Area, Pithoragarh, Uttarakhand",Landslide,0.0
Murshidabad,Flood,55.0
"Mussoorie, Uttarakhand",Landslide,0.0
"Mussoorie-Tehri Bypass, Near Landour, Uttarakhand, India",Landslide,0.0
Muttukadu,Cyclone,32.0
Muzaffarpur,Flood,240.0
Naga Gate Along The Ukhrul-Imphal Route,Landslide,0.0
Nagaon,Flood,73.0
Nagapattinam,Cyclone,85.66666666666667
"Nagercoil, Tamil Nadu",Landslide,0.0
Nahan Roads,Landslide,0.0
Nainital,Flood,40.0
Nainital,Landslide,22.0
"Nainital District, Uttarakhand",Landslide,5.0
"Nairpara, Kerala",Landslide,1.0
"Nakham Bazaar, Tura, Meghalaya",Landslide,4.0
Nalbari,Flood,98.0
Nalgonda,Flood,68.0
"Naliyani, Near Thodupuzha Town",Landslide,0.0
Nalupani Area In Uttarkashi District,Landslide,0.0
"Nalupani(?), Rishikesh-Gangotri Highway, Uttarkhand",Landslide,0.0
"Nam Nang, Gangtok",Landslide,0.0
Nambilnar,Landslide,0.0
Namchi,Landslide,13.333333333333334
"Nandprayag, Uttarakhand, India",Landslide,0.0
Narakasur,Landslide,3.0
"Narendranagar Bypass On The Rishikesh-Gangotri National Highway,Tehri Garhwal District, Uttarakhand, India",Landslide,4.0
Narmadapuram,Flood,35.0
"Narundi Area Of Uri, Jammu And Kashmir",Landslide,1.0
"Narvem-Pilgao Road, Bicholim",Landslide,0.0
Nashik,Flood,22.0
Nasik,Flood,45.0
"Nathang Maong, Sikkim",Landslide,7.0
"Nathpa Jhulla, Between Rampur And Peo, Kinnaur, Himachal Pradesh",Landslide,1.0
"Nathpa Village, Kinnaur District, Himachal Pradesh",Landslide,0.0
"National Highway 109, Uttarakhand",Landslide,0.0
"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",Landslide,0.0
"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland",Landslide,0.0
"National Highway 2, Near Kohima, Nagaland, India",Landslide,0.0
"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",Landslide,0.0
"National Highway 29 Near Phesama Village, Nagaland",Landslide,0.0
National Highway 31A In West Bengal'S Darjeeling District,Landslide,0.0
"National Highway 31A, Darjeeling Hills",Landslide,0.0
"National Highway 4, Navi Mumbai, Maharashtra",Landslide,0.0
National Highway 44,Landslide,0.0
"National Highway 44 At Sunapur And Tongseng In Jaintia Hills District, Eastern Meghalaya",Landslide,0.0
National Highway 51,Landslide,0.0
"National Highway 53, Sinam Khul (Near Kotlen; ~25 Km From Imphal)",Landslide,6.0
"National Highway 54, At Kawnpui Town",Landslide,0.0
"National Highway 66, Connecting Kerala And Karnataka",Landslide,0.0
"National Highway 72-B, Between Paonta Sahib And Sillai, Sirmaur District, Himachal Pradesh",Landslide,0.0
National Highway At Kuliang,Landslide,0.0
"National Highway Leading To Gangotri, From Dehradun",Landslide,0.0
National Highway-21 Near Rani-Ki-Bain,Landslide,0.0
"National Hwy 31A, Birik (Cut Off Sikkim)",Landslide,0.0
"Natl. Highway 31-A At Pani House(?), Gangtok",Landslide,0.0
Natonal Highway In Jorabat Area,Landslide,0.0
"Near A Hill At Puthuvacherry, In Peralassery In Kannur",Landslide,2.0
"Near Bagri Glacier(?), Gopeswar(Gopeshwar), Chamoli District, Uttarakhand",Landslide,0.0
"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",Landslide,0.0
"Near Chausali Village(?), Almora District, Uttarakhand",Landslide,0.0
"Near Devprayag, Rishikesh-Badrinath Hwy,",Landslide,0.0
"Near Digdol, Jammu-Srinagar Hwy, Jammu And Kashmir",Landslide,0.0
"Near Himkoti(?), On Road To Bhawan(Vaishno Devi Temple) At Katra, Jammu And Kashmir",Landslide,1.0
Near Kalijhora,Landslide,0.0
Near Meeru On Chulling-Tapri Road,Landslide,2.0
"Near Mohand, Dehradun-Delhi Hwy, Uttar Pradesh",Landslide,0.0
"Near Mt. Kamet And Ghastoli Village, Near Mana Pass, Chamoli District, Uttarakhand",Landslide,2.0
Near Nivar Station In The Ratnagiri District Of Maharashtra,Landslide,0.0
"Near Panthal, Between Ramban And Ramsu(?), On Jammu-Srinagar Hwy, Jammu And Kashmir",Landslide,0.0
"Near Rahni Nullah(?), On Manali-Rohtang Hwy, Himachal Pradesh",Landslide,0.0
"Near Ramban, Jammu-Srinagar Hwy, Jammu And Kashmir",Landslide,0.0
"Near Rampur, Himachal Pradesh",Landslide,1.0
"Near Rohtang Pass, Manali-Keylong Rd, Himachal Pradesh",Landslide,0.0
Near S Lamphei Lamkhai And Sehlon Village,Landslide,0.0
"Near Sevok(Sevoke), Highway 31A To Sikkimand Kalimpong, Hatisura(?), Darjeeling",Landslide,0.0
"Near Solan, Kalka-Shimla Hwy, Himachal Pradesh",Landslide,0.0
Near The Rohini-Sirubari Road,Landslide,1.0
"Near Tuichang(?) On Tuichang River, Aizawl-Champhai Rd, Mizoram",Landslide,0.0
"Near Tuivawl(?), Aizawl-Champhai Rd, Aizawl District, Mizoram",Landslide,0.0
"Nehrukund In Manali, Himachal Pradesh",Landslide,25.0
Nellore,Cyclone,362.3333333333333
Nellore,Flood,175.0
"Netali Maneri Marg, Uttarkashi District, Uttarakhand",Landslide,0.0
New Friends Colony,Landslide,1.0
"New Land (""""New Colony"""")",Landslide,0.0
New Mhada Complex In Dindoshi,Landslide,0.0
"Ney Village, Ladakh, Jammu And Kashmir",Landslide,0.0
"Ngur, Near Mizoram-Myanmar Border, India",Landslide,2.0
"Nh 10 Between Coronation Bridge And Sevoke Kalibari, West Bengal, India",Landslide,0.0
"Nh 13 10 Kilometers From Old Ziro, Arunachal Pradesh, India",Landslide,0.0
"Nh 31A At Likhuvir(?), Near Teesta Bazar, 42Nd Km Marker(?), Kalimpong, West Bengal Cutting Off Sikkim And Kalimpong",Landslide,0.0
Nh 37,Landslide,0.0
Nh 37 At Awang Khulâ,Landslide,3.0
"Nh 39 At Kigwema(?), Between Mao Gate And Kohima, Nagaland",Landslide,0.0
"Nh 5 Near Rampur, Uttar Pradesh, India",Landslide,0.0
Nh 66 At Mudaga,Landslide,0.0
Nh 88,Landslide,0.0
Nh-05 Near Chaura Village,Landslide,0.0
"Nh-10, Sepi Jhora, Kalimpong",Landslide,0.0
"Nh-17, Panaji To Mapusa On Old Mandovi Bridge, Goa",Landslide,8.0
"Nh-1A, 7Km From Srinigar",Landslide,0.0
Nh-2 Between Senapati And Mao,Landslide,0.0
"Nh-22 Between Rampur And Recong-Peo(Reckong Peo), Himachal Pradesh",Landslide,0.0
"Nh-22 Beyond Recong-Peo(Reckong Peo),  Himachal Pradesh",Landslide,0.0
Nh-22 Near Taradevi,Landslide,0.0
"Nh-31A At Topakhani Tunnel(?) And Fruit Preservation Factory(?) And Chisopani Bridge(?), Near Singtam And Gangtok And Rangpo, Sikkim",Landslide,0.0
"Nh-39 At Ekai Village(?), 2 Km For Tadubi, Manipur",Landslide,0.0
"Nh-39 At Imphal-Moreh Section, Lokchao Largest Event",Landslide,3.0
"Nh-39 At Tobio Village(?), 7 Km Form Tadubi, Manipur",Landslide,0.0
"Nh-39 In Karong Area, Manipur",Landslide,0.0
"Nh-39 Near Khongnem(?) Village, Between Imphal And Dimapur, Manipur",Landslide,0.0
"Nh-39 Near Kohima Municipality Council(Kmc) Dumping Ground, Between Zubza(Sechu) And Kohima, Nagaland",Landslide,0.0
"Nh-53 At Nungba Police Station, Kambirong(?), Manipur",Landslide,0.0
Nh-55 At Merry Villa,Landslide,0.0
Nh-61 Between Botsa And Chiechama,Landslide,0.0
"Nh-61, 1 Km Before Reaching Botsa",Landslide,0.0
Nh-62 At Sibbari,Landslide,0.0
"Nh-87 Near Naintital, Uttarakhand",Landslide,0.0
Nh10 In Rangpo,Landslide,1.0
"Nh31A, Mile 27 Near Rambi",Landslide,0.0
Nh55 At Tindharia,Landslide,0.0
"Nilachal Hill, Guwahati, Assam",Landslide,0.0
Nilgiri Mountain Rail'S Barliar-Coonoor Sector,Landslide,0.0
Nilgiri Mountain Rail'S Mettupalayam-Kallar Sectors,Landslide,0.0
Nilgiris,Landslide,26.0
"Nimoo(Nimu)(Nimmoo) Village, Leh, Ladakh, Jammu And Kashmir",Landslide,182.0
"Nirgaddu About 4 Km From Tapovan On Rishikesh - Badrinath Route, Uttarakhand",Landslide,0.0
"Noklak-Tuensang Road, Nagaland",Landslide,0.0
Noney,Landslide,20.0
Nongstoin,Landslide,16.5
Noonmati,Landslide,0.0
"Noonmati Nijarapar Area Of The City, Guwahati, Assam, India",Landslide,1.0
"Noonmati, Guwahati, Assam, India",Landslide,0.0
"North Point Colony, Akuluto, Nagaland, India",Landslide,0.0
"North Sikkiim Highway, Periphery Of Gangtok, Sikkim East District",Landslide,0.0
North Sikkim,Landslide,22.0
"North Skkimm Hwy Between, Chungthang And Mangan, North Skimm (9 Landslides)",Landslide,20.0
Nungba,Landslide,0.0
"Nungba, Tamenglong, Manipur",Landslide,0.0
Odisha Coast,Cyclone,3.0
"Old Inspection Bungalow, Bhalukpong Town, West Kameng, Arunachal Pradesh, India",Landslide,5.0
"Old Monastery Road, Ghum",Landslide,1.0
On Circular Road Near Panjtirthi,Landslide,1.0
"On Road Between Mon And Tobu Near Telangsao Hydro Project , Nagaland, India",Landslide,0.0
On The Manali Highway Near Mandi,Landslide,0.0
Ongole,Cyclone,35.0
Ooty,Landslide,108.0
"Ooty And Coonoor, Tamil Nadu",Landslide,42.0
"Ooty, India",Landslide,0.0
Osmanabad,Landslide,40.0
"Padil, Nh - 48",Landslide,0.0
Padmavathy Nagar In West Velachery,Landslide,0.0
"Paglanala Village, Dholai Block, Near Dwarbandh Locality Of The District, Cachar District (Could Only Find District) 45 Km From Silchar, Assam",Landslide,3.0
Pahalgam,Landslide,2.0
Paharpurâ Locality Inâ Koderma,Landslide,2.0
"Painavu, Kerala",Landslide,1.0
"Paingottoor, Kerala,",Landslide,2.0
"Palani, Dindigul District",Landslide,0.0
"Palani-Kodaikanal Ghat Road, Kodaikanal",Landslide,0.0
"Pallippady In Koruthode Panchayat, Cholathadam In Poonjar Thekkekkara Pallippady In Koruthode Panchayat And Cholathadam In Poonjar Thekkekkara Panchayat",Landslide,0.0
Pamohi,Landslide,0.0
"Pangi, Nh-22, Himachal Pradesh",Landslide,0.0
Panikikata Hill,Landslide,0.0
Panjarpol On The Eastern Freeway,Landslide,0.0
Pankhabari And Rohini Routes In Kurseong,Landslide,0.0
"Panthal, Jammu-Srinagar National Highway, Between Kashmir And The Rest Of The Country",Landslide,0.0
Papum Pare,Landslide,14.5
Paradeep,Cyclone,65.0
Paradip,Cyclone,3388.3333333333335
"Parimal Underpass Near Juta Bazaar, Ahmedabad, Gujrat State",Landslide,5.0
"Parmandal, Jammu",Landslide,1.0
Parsad On Nh-8,Landslide,0.0
"Parsik Tunnel Between Thane And Kalyan Railway Stations, India",Landslide,0.0
"Parsik/ Nutan Tunnel On Central Rail, Near Diva, Mumbai, India",Landslide,0.0
Pasighat,Flood,30.0
"Patan, Baramulla District",Landslide,1.0
"Patlot-Aghora Road, Almora District",Landslide,1.0
Patna,Flood,200.0
Pauri District Of Uttarakhand,Landslide,14.0
Pauri Garhwal,Landslide,22.0
"Pauri-Safdarkhal Road, Blocked At Khundadhar",Landslide,0.0
"Peermade(Pä«Rmed), Idukki District, Kerala",Landslide,0.0
"Pernem, Goa",Landslide,0.0
"Peruvai-Kadengodlu Rd(?) Between Vittal And Manila(Mani?), Bantwal Tuluk, Karnataka",Landslide,0.0
"Phagutar Near Mahanadi, 12Km From Kurseong, Siliguri District, Darjeeling",Landslide,1.0
"Phase-Iii, Sector 5, New Shimla",Landslide,0.0
"Phc Cansaulim, Goa, India",Landslide,0.0
Phek,Landslide,16.5
"Phek, Manipur",Landslide,0.0
Phesama,Landslide,0.0
Phesama Village,Landslide,0.0
Phesema Area At National Highway 39,Landslide,1.0
Phulbani,Flood,45.0
Phullenâ€™S Main Road,Landslide,0.0
Phungyar Road,Landslide,0.0
"Phyang Village, Leh, Ladakh, Jammu And Kashmir",Landslide,0.0
Pilgao-Narvem,Landslide,0.0
"Pithauragadh, Uttarakhand",Landslide,7.0
Pithoragarh,Landslide,88.42857142857143
Pithoragarh District,Landslide,0.0
"Pithoragarh District, Uttarakhand",Landslide,2.0
"Pithoragarh-Ghatiabgarh Road, Uttarakhand",Landslide,0.0
"Piyali Phukan Nagar, Guwahati, India",Landslide,1.0
"Police Cid Complex(?), Shillong, Meghalaya",Landslide,1.0
Pomendi Cutting Near Ratnagiri,Landslide,0.0
"Pomendi Hill(?), Goa-Mumbai Konkan Railway, Both Sides Of Ratnagiri, Maharashtra",Landslide,0.0
Pondicherry,Cyclone,28.0
"Ponsuli, Goa",Landslide,0.0
"Poochapra(?), Near Thodupuzha, Kattappana, Kerala",Landslide,2.0
Poonch,Landslide,9.5
Poonch District,Landslide,1.0
Porbandar,Cyclone,20.0
"Portions Of Nh 39, Connectin Manipur With Assam Via Nagaland",Landslide,0.0
"Poshiana, 27 Km Point Of Road From Bafliaz",Landslide,0.0
"Press Colony, Near Taradevi, Himachal Pradesh",Landslide,0.0
"Pub Sarania Hill, South Sarania, Guwahati, Assam, India",Landslide,1.0
"Pulbhal(?)-Solan Rd, Himachal Pradesh",Landslide,0.0
Pune,Flood,65.0
"Purba Simna, Tripura",Landslide,1.0
Puri,Cyclone,410.0
Purnia,Flood,145.0
Putupadal Gram Panchayat In Nuagada Block,Landslide,0.0
"Quaritok, Uttarkashi, Uttarakhand",Landslide,0.0
Rabale,Landslide,2.0
Rahni,Landslide,1.0
Raichur,Flood,55.0
"Raigad District, Maharashtra",Landslide,0.0
"Raigad Fort, Raigad Fort Natural Reserve, Maharashtra, India",Landslide,1.0
"Rail Line Between Mulanthuruthy And Piravom Near Mulanthruth, Kerala",Landslide,0.0
"Railroad Between Chimidipalli And Borra Caves Stations, Andhra Pradesh",Landslide,0.0
Rails Between Amdalli(?) And Near Thodor(Todur) Stations Bordering Ankola And Karwar Talukas In Uttar Kanara District Of Neighbouring Karnataka,Landslide,1.0
"Rails Between Jatinga And Longrangjao(?), Assam",Landslide,0.0
"Rails Between Mahur And Wadringdisa(?), Assam",Landslide,0.0
"Railway Between Koraput And Rayagada In Odisha, India",Landslide,0.0
Railway Tracks Between Dumriput And Damanjodi,Landslide,0.0
"Railway Tunnel A Few Kilometres From The Haridwar Railway Station, Between Haridwar And Dehradun, Uttarakhand, India",Landslide,0.0
"Raj Bhavan Guwahati, Assam",Landslide,0.0
Rajahmundry,Flood,99.6
Rajapur-Vaibhavwadi Section Of The Konkan Railway,Landslide,0.0
"Rajeev Nagar(?) Or Narayan Nagar, Asalfa Village, Between Ghatkopar And Saki Naka Area, Somewhere Near Lal Bahadur Shastri, Andheri Suburb. Mumbai Urban Center,",Landslide,1.0
"Rajgarh-Habban Road, Himachal Pradesh",Landslide,0.0
Rajouri,Landslide,20.0
Rakh Batla Belt In Udhampur,Landslide,2.0
Rakha Jaganoo,Landslide,5.0
Ramanathapuram,Cyclone,170.5
Ramban,Landslide,21.75
Ramban District,Landslide,0.0
Ramban District Of Jammu And Kashmir,Landslide,2.0
"Ramban District, Srinagar-Jammu Highway (Khooni Nallah, Higni And Panthal)",Landslide,0.0
"Ramban, Kashmir",Landslide,0.0
"Rambara District, Uttarakhand",Landslide,13.0
"Ramchandi , Hailakandi District, Assam, India",Landslide,1.0
Ramnagar Railway Station,Landslide,0.0
Ramsoo Area Of Ramban District,Landslide,0.0
Ramsu,Landslide,2.0
"Ranachatti(?), On Road To Yamunotri",Landslide,0.0
"Ranachatti(?), Route To Yamunotri, Garwhal Division, Uttarakhand",Landslide,0.0
"Rangiabong (Jorbungalow), Darjeeling, West Bengal",Landslide,6.0
Rangpo,Landslide,0.0
Ratacherra,Landslide,0.0
"Ratacherra Village Along The Nh-44 Connecting To Barak Valley In Assam And Tripura, Meghalaya, Mizoramon",Landslide,4.0
Ratnagiri,Cyclone,32.0
Ratnagiri,Landslide,19.0
Rayagada,Flood,85.0
"Rayagada, Odisha",Landslide,0.0
Reasi,Landslide,0.0
"Reasi District, Jammu And Kashmir",Landslide,1.0
"Reasi, Kashmir",Landslide,1.0
Rengpeth Village,Landslide,0.0
"Reshi Mohalla, Tangmarg",Landslide,0.0
"Rimbik, Darjeeling, West Bengal State, India",Landslide,3.0
Rishikesh- Gangotri National Highway In Maneri Area Of Uttarkashi District,Landslide,0.0
"Rishikesh-Badrinath Hwy., Near Sirobgarh(Sirobagad), Rudraprayag District, Uttarakhand",Landslide,0.0
Rishikesh-Badrinath National Highway Near Joshimath,Landslide,0.0
"Rishikesh-Badrinath National Highway To Rudraprayag, Chamoli, And Badrinath, Uttarakhand",Landslide,0.0
"Rishikesh-Gangotri National Highway Near Mari Sainji Village, Uttarkashi, Uttarakhand",Landslide,0.0
"Rishikesh-Joshimath-Mana Road, Uttarakhand",Landslide,0.0
"Rishikesh-Kedarnath National Highway, Sirobagad",Landslide,0.0
"Rishikesh-Uttarkashi Route, Uttarakhand",Landslide,0.0
"Road Between Haflong And Lanka, Assam",Landslide,0.0
"Road Between Halfong And Redzol(?) Or Silchar, Assam",Landslide,0.0
"Road Between Rajouri(Rajauri) And Poonch(Punch), Jammu And Kashmir",Landslide,0.0
"Road Between Srinagar And Muzaffarabad Near Kaman Post In Baramulla District, Kashmir",Landslide,0.0
"Road From Other Districts To Hawai(Tawai?) Which Is  On Lojit River, Near Hayuliang,  Anjaw District, Arunachal Pradesh",Landslide,0.0
"Road From Pinjore(Pinjaur), Haryana To Nalagarh, Himachal Pradesh",Landslide,0.0
"Road Leading To Patala Ganga And The Ropeway In Srisailam, Andhra Pradesh, India",Landslide,0.0
"Road Near Manali, Kullu",Landslide,0.0
"Road Near Saverikadu Village(?), Between Palani And Kodaikanal, Tamil Nadu Province",Landslide,0.0
Road Near Tipri To Kedarnath,Landslide,0.0
"Road To Badrinath Shrine, Uttarakhand",Landslide,0.0
"Road To Chopal, Himachal Pradesh",Landslide,0.0
"Road To Manali, Himachal Pradesh",Landslide,0.0
"Road To Oting Near Longlam Village, 13 Km From Tizit Subdivision, Mon District, Nagaland",Landslide,0.0
"Road To Sangla And Bhaba And Sorang(?) Valleys, Kinnaur, Himachal Pradesh",Landslide,0.0
"Road To Sangla Valley, Near Kupa Village, Kinnaur District, Himachal Pradesh",Landslide,0.0
"Road To Shivpur(Shivpuri), Pauri Garhwal District, Uttarakhand",Landslide,0.0
"Road To Yamunotri Shrine, Uttarakashi",Landslide,0.0
"Roads Above Pithoragarh, Uttranchal",Landslide,0.0
"Roads Around Uttarkashi, Uttarakhand",Landslide,0.0
"Roads Between Jubbal And Rohru, Shimla, Himachal Pradesh",Landslide,0.0
"Roads Between Sunnu Pal And Chail, Himachal Pradesh",Landslide,0.0
"Roads Between Tamei(Tamma?), Kangpokpi And Chalwa, Manipur",Landslide,0.0
Roads From Manali To Rohtang Pass,Landslide,0.0
"Roads To Gangotri, Uttarakhand",Landslide,0.0
"Roads To Manali, Himachal Pradesh",Landslide,0.0
"Roads To Rani Khet(Ranikhet) And Jolle Kote(?), Uttarakhand",Landslide,0.0
"Rohru,Theog And Chopal Sub-Divisions, Shimla, Himachal Pradesh",Landslide,38.0
